user,sentiment,subjectivity,tweets
smrnews,0.0,0.25,"[u'Woman robbed at gunpoint while selling a gun (subscriber content) http://t.co/6NzibbQR58 http://t.co/KFXeUzQ1Kt', u'POLICE BLOTTER |3-29-14| http://t.co/VUqd2yLSxd http://t.co/9kJTvS8reW', u'Shannon J. Allen: Greer, Wells are two people Iadmire http://t.co/aJksjajUIR http://t.co/K2DXr3XIYV', u'Our View: Preparation for severe weather is the real key http://t.co/4tMrFRgSnw http://t.co/p3xLbBdm8H']"
alexcityoutlook,0.079545454545454544,0.24431818181818182,"[u'Boys and Girls Club will not use rooms at Cooper Rec Center: By Adam Powell The Outlook \xa0 City council members... http://t.co/SrZIbwOjCT', u'With Langford out,search for new Jim Pearson principal begins in earnest: Jim Pearson Elementary School will h... http://t.co/3DT4p3uIoB', u'Jobless rate up 0.7 percent: Unemployment continued to rise at both the county and state level, according to t... http://t.co/D7LCdskEy3', u'Rain stalls day of activities at Horseshoe Bend: By Adam Powell The Outlook Though Friday\u2019s rain turned much o... http://t.co/lJf2ylh6oU']"
annistonstar,0.052083333333333343,0.18958333333333333,"[u'Saban: Players should have a voice http://t.co/C7WHL4FHk9', u""Joe Medley's In My Opinion: Great finish, but SEC hoops still weak in 2014 http://t.co/HkevYiR8Wk"", u'Alabama notebook: Lake out for spring http://t.co/Hbrn4ATiHv', u'JSU: No-tuition-hike pledge depends on state budget action http://t.co/GEK9Eow3JH']"
ArabTribune,0.0,0.0,"[u'Weather permitting, beginning Monday, March 31 at 7 a.m., the southbound lanes of State Route 69 (between mile... http://t.co/xPA8cmy9pW', u'Does anyone know how to get hold of Andrew Kelley? \nI need to talk to him about the archery stuff he sent. He... http://t.co/COmO70RIpn', u'Taking a trip for spring break? Send us your pics to share in the Saturday, March 29 The Arab Tribune.', u'By CHARLES WHISENANT\nThe Arab Tribune\nIt\u2019s been 10 years since a convoy of National Guard trucks rolled through... http://t.co/1jMI2JoGZC']"
newscourier,0.25,0.30000000000000004,"[u'Mom was burned while looking for kids in fire that displaced 2 families near Athens. Can you donate clothing, toys? http://t.co/nWlAyevLra', u'Mom was burned while looking for kids in fire that displaced 2 families near Athens. Can you donate clothing, toys? http://t.co/2O6IJCdUNH', u'Eight arm-pitching staff helps Ardmore to 7-game win streak; senior ace Cody Reed holding opposing batters to... http://t.co/75YuMmKE2r', u'Honor Band featuring city students from AIS, AMS, AHS and Ardmore, Clements, East, Elkmont, Tanner and West will... http://t.co/RoD92kn4qQ']"
TheAUPlainsman,0.037500000000000006,0.1125,"[u'SGA discusses changes in parking and traffic http://t.co/CGQKxigeb2 @AuburnSGA @Derscovici', u'Former football signee, current Class of 2015 commitment Jason Smith arrested on drug charges\nhttp://t.co/5Aki3aQDnE', u'Sunday funday thanks to Adult Swim http://t.co/3JmQIgbz2D @Derscovici  @Smay0025 @adultswim http://t.co/3KHXzrlIV1', u'Foodie Corner: Conecuh sausage, shrimp and quinoa casserole http://t.co/sjFsUGC1bf @AnnaCConradAU #foodie http://t.co/Km2Oy8lGi2']"
BirminghamTimes,0.025000000000000001,0.10000000000000001,"[u""SWAC Announces 2013-14 Men's Basketball Honors: BIRMINGHAM, Ala. \u2013 The Southwestern Athletic Conference has reco... http://t.co/iE3l3hzHCM"", u'Birmingham Trailblazer: Why he\u2019s a Trailblazer: Simmons is an internationally recognized poet and musician. In 2... http://t.co/iT2dzlm9SI', u'Hornets Complete Four-Game SWAC Sweep: MONTGOMERY \u2013 The Alabama State baseball team completed a four-game sweep ... http://t.co/YhibtfEshR', u'Sideline:  http://t.co/O1L8QQ654E']"
bhambizjrnl,0.034090909090909088,0.11363636363636363,"[u""Sushi-Mex? That's the plan for new Avondale restaurant Wasabi Juan's http://t.co/3xi28GADEU"", u'Making sense of the housing market http://t.co/3A8j1cGmx5 via @BhamReal_Estate', u""Alabama's Splash Adventure Waterpark price tag was $4.4M http://t.co/tV1N3H3L8T"", u'Four UAB professors earn prestigious award from National Science Foundation http://t.co/tXk0WeENYB']"
OTMJnews,0.0,0.0,"[u'http://t.co/KsQnkg081i', u'http://t.co/GQuMVHFERM', u'http://t.co/e0kwkrahkH', u'http://t.co/0Hiek2fiRv']"
brewtonstandard,-0.17500000000000004,0.44999999999999996,"[u'Warhawk baseball splits with Bishop State Sunday in Mobile: The Jefferson Davis Community College Warhawk base... http://t.co/TX2oy3w6Rd', u'Youth sports coaches asked to send in game stats for 2014 season: ATTN BREWTON AND EAST BREWTON CAL RIPKEN BAS... http://t.co/P2Jo3GZ0Ky', u'JDCC baseball gets fifth straight win Thursday at Bishop State: From staff reports JDCC Warhawk baseball playe... http://t.co/K97u7v5rAt', u'Andalusia edges out WSN baseball while TRM gets 10-run ruled by Brantley Tuesday in Opp: From staff reports W.... http://t.co/tNfj90vZdA']"
corridormsnger,0.14583333333333334,0.3833333333333333,[u'Getting a little cooler outside.  You got to love Alabama autumn!']
