StateAbbrv,Sentiment,Subjectivity,CountTweets,region
oh,0.07708105230012445,0.2464408650405216,582,ohio
ok,0.061884144019560675,0.2074715085950205,168,oklahoma
or,0.064343572833741383,0.21694541838034348,267,oregon
pa,0.084050514881379823,0.21120781272440037,422,pennsylvania
ri,0.11740393061045236,0.24843379446640315,69,rhode island
sc,0.079989648899158119,0.2456023690011421,163,south carolina
sd,0.062940602166792647,0.24318468127991938,63,south dakota
tn,0.085532629104057692,0.26198347269775835,259,tennessee
tx,0.075896619919216687,0.23849617476948906,697,texas
ut,0.1062010599694424,0.24002338756015226,136,utah
va,0.085387699985452037,0.22876826294605593,367,virginia
vt,0.090120887933387947,0.26461996086996087,74,vermont
wa,0.08217330954635646,0.24885737999374358,352,washington
wi,0.079554955157792054,0.22472120357315384,282,wisconsin
wv,0.061378499278499275,0.16878203463203467,100,west virginia
wy,0.060444433744221884,0.21323703133025168,59,wyoming
