user,sentiment,subjectivity,tweets
theacornonline,nan,nan,[]
ConejoCalendar,nan,nan,[]
CCTimes,nan,nan,[]
boyleheightsbt,nan,nan,[]
AmCanEagle,nan,nan,[]
LatinoTimes,nan,nan,[]
thepress_net,nan,nan,[]
ncj_of_humboldt,nan,nan,[]
AuburnJournal,nan,nan,[]
bakersfieldcali,nan,nan,[]
RecordGazette,nan,nan,[]
DDispatchNews,nan,nan,[]
thepress_net,nan,nan,[]
Beniciaherald,nan,nan,[]
EastBayExpress,nan,nan,[]
BHCourier,nan,nan,[]
cnewspaper,nan,nan,[]
BBGrizzly,nan,nan,[]
BBGrizzly,nan,nan,[]
InyoRegister,nan,nan,[]
Pvvt,nan,nan,[]
thepress_net,nan,nan,[]
BurbankLeader,nan,nan,[]
WeeklyCali,nan,nan,[]
CamarilloAcorn,nan,nan,[]
thecambrian,nan,nan,[]
campbellexpress,nan,nan,[]
TheCamReporter,nan,nan,[]
CoastalViewNews,nan,nan,[]
cerritosnews,nan,nan,[]
chicoer,nan,nan,[]
ChicoNR,nan,nan,[]
NewzTip,nan,nan,[]
Courier91711,nan,nan,[]
RecordBee,nan,nan,[]
ColfaxRecord,nan,nan,[]
csherald,nan,nan,[]
corningobserver,nan,nan,[]
TheDailyPilot,nan,nan,[]
OCWEEKLY,nan,nan,[]
thetriplicate,nan,nan,[]
CupCourier,nan,nan,[]
DanaPointTimes,nan,nan,[]
CCTimes,nan,nan,[]
ValleySentinel1,nan,nan,[]
delmartimes,nan,nan,[]
delmartimes ,nan,nan,[]
DOWNEYPATRIOT,nan,nan,[]
publisherjohn,nan,nan,[]
IVPNews,nan,nan,[]
MidValley_News,nan,nan,[]
heraldpub,nan,nan,[]
ElkGroveCitizen,nan,nan,[]
coastnewsgroup,nan,nan,[]
eurekaTS,nan,nan,[]
AllDailyRepNews,nan,nan,[]
MtechoWalt,nan,nan,[]
thefvillagenews,nan,nan,[]
FrndEnterprise,nan,nan,[]
FillmoreGazette,nan,nan,[]
SespeSun,nan,nan,[]
folsomtelegraph,nan,nan,[]
HeraldNews1,nan,nan,[]
FBAdvocateNews,nan,nan,[]
insidebayarea,nan,nan,[]
fremontbulletin,nan,nan,[]
Caladvocate,nan,nan,[]
fresnobee,nan,nan,[]
vidaenelvalle,nan,nan,[]
GilroyDispatch,nan,nan,[]
glendalenp,nan,nan,[]
TheUnion,nan,nan,[]
hmbreview,nan,nan,[]
hanfordsentinel,nan,nan,[]
heraldpub,nan,nan,[]
Beach_Reporter,nan,nan,[]
EasyReaderNews,nan,nan,[]
hesperiastar,nan,nan,[]
hollisternews,nan,nan,[]
HBIndependent,nan,nan,[]
mydesert,nan,nan,[]
heraldpub,nan,nan,[]
mpchronicle,nan,nan,[]
JulianNews,nan,nan,[]
KingsburgRecdr,nan,nan,[]
ValleySun,nan,nan,[]
lajollalight,nan,nan,[]
LJvillagenews,nan,nan,[]
EastCountyMag,nan,nan,[]
mydesert,nan,nan,[]
coastlinepilot,nan,nan,[]
lagunabeachindy,nan,nan,[]
TheMountainNews,nan,nan,[]
lakeconews,nan,nan,[]
recordbee,nan,nan,[]
RecordBee,nan,nan,[]
heraldpub,nan,nan,[]
lincolnnm,nan,nan,[]
lodinews,nan,nan,[]
LBGazetteNews,nan,nan,[]
lbbizjournal,nan,nan,[]
longbeachpost,nan,nan,[]
lbregisternews,nan,nan,[]
presstelegram,nan,nan,[]
TheLoomisNews,nan,nan,[]
latc,nan,nan,[]
weekendbalita,nan,nan,[]
Jobs4Lawyers,nan,nan,[]
egpnews,nan,nan,[]
thr,nan,nan,[]
hoylosangeles,nan,nan,[]
ibdeditorials,nan,nan,[]
JewishJournal,nan,nan,[]
LAWEEKLY,nan,nan,[]
DowntownNews,nan,nan,[]
LaOpinionLA,nan,nan,[]
LarchmontChron,nan,nan,[]
LABJcommunity,nan,nan,[]
ladailynews,nan,nan,[]
TLAIndependent,nan,nan,[]
thelasentinel,nan,nan,[]
latimes,nan,nan,[]
LosAngelesWave,nan,nan,[]
Pacific_Citizen,nan,nan,[]
BeverlyPress,nan,nan,[]
RafuShimpo,nan,nan,[]
variety,nan,nan,[]
TheMalibuTimes,nan,nan,[]
MamTimes,nan,nan,[]
heraldpub,nan,nan,[]
mantecabulletin,nan,nan,[]
mariposagazette,nan,nan,[]
MartinezGazette,nan,nan,[]
appealdemocrat,nan,nan,[]
mendocinobeacon,nan,nan,[]
AlmanacNews,nan,nan,[]
MercedTimes,nan,nan,[]
mercedsunstar,nan,nan,[]
MarinscopeNews,nan,nan,[]
milpitaspost,nan,nan,[]
modbee,nan,nan,[]
MontereyHerald,nan,nan,[]
mcweekly,nan,nan,[]
moorparkacorn,nan,nan,[]
LamorindaWeekly,nan,nan,[]
morganhilltimes,nan,nan,[]
mtshastanews,nan,nan,[]
mvvoice,nan,nan,[]
NapaRegister,nan,nan,[]
Nevadacityadvoc,nan,nan,[]
mattosnews,nan,nan,[]
TheDailyPilot,nan,nan,[]
ocbizjournal,nan,nan,[]
adobepress,nan,nan,[]
marinij,nan,nan,[]
MarinscopeNews,nan,nan,[]
oakdaleleader,nan,nan,[]
TheSierraStar,nan,nan,[]
EastBayExpress,nan,nan,[]
insidebayarea,nan,nan,[]
OaklandPostNews,nan,nan,[]
thepress_net,nan,nan,[]
UTsandiego,nan,nan,[]
OVN,nan,nan,[]
ivdailybulletin ,nan,nan,[]
