user,sentiment,subjectivity,tweets
AkronNewsReport,nan,nan,[]
aspendailynews,nan,nan,[]
TheAspenTimes,nan,nan,[]
aurorasentinel,nan,nan,[]
fairplayflume,nan,nan,[]
berthoudrecordr,nan,nan,[]
berthoudsurvey,nan,nan,[]
BCBR,nan,nan,[]
boulderweekly,nan,nan,[]
coloradodaily,nan,nan,[]
dailycamera,nan,nan,[]
BrightonBlade,nan,nan,[]
bfld_enterprise,nan,nan,[]
BrushNewsTrib,nan,nan,[]
ChaffeeCoTimes,nan,nan,[]
BrlingtonRecord,nan,nan,[]
ccdr_news,nan,nan,[]
SoprisSun,nan,nan,[]
csbizjournal,nan,nan,[]
southsidebiz,nan,nan,[]
csgazette,nan,nan,[]
csindependent,nan,nan,[]
gatewaynews,nan,nan,[]
HighTimberTimes,nan,nan,[]
CortezJournal,nan,nan,[]
craigdailypress,nan,nan,[]
CoNewsAgency,nan,nan,[]
ColoStatesman,nan,nan,[]
denbizjournal,nan,nan,[]
denverpost,nan,nan,[]
DUS_Tweets,nan,nan,[]
DenverVOICE,nan,nan,[]
lavozcolorado,nan,nan,[]
vivacolorado,nan,nan,[]
DENVERWESTWORD,nan,nan,[]
DurangoHerald,nan,nan,[]
CoHoWeekly,nan,nan,[]
EPTrailGazette,nan,nan,[]
coloradoan,nan,nan,[]
ncbr,nan,nan,[]
fortmorgantimes,nan,nan,[]
FowlerTribune,nan,nan,[]
summitdailynews,nan,nan,[]
DailySentinelGJ,nan,nan,[]
GJFreePress,nan,nan,[]
FencePostNews,nan,nan,[]
GreeleyTribune,nan,nan,[]
VillagerDenver,nan,nan,[]
gunnisontimes,nan,nan,[]
The_JT_Breeze,nan,nan,[]
JlsburgAdvocate,nan,nan,[]
LaJuntaTD,nan,nan,[]
CoHoWeekly,nan,nan,[]
northfortynews,nan,nan,[]
BentCountyDemoc,nan,nan,[]
timescall,nan,nan,[]
CoHoWeekly,nan,nan,[]
reporterherald,nan,nan,[]
LyonsRecorder,nan,nan,[]
heraldtimes,nan,nan,[]
montrosepress,nan,nan,[]
TelluridePlanet,nan,nan,[]
SunshineXNews,nan,nan,[]
highcountrynews,nan,nan,[]
chieftainnews,nan,nan,[]
heraldtimes,nan,nan,[]
TheMtnMail,nan,nan,[]
SnowmassSun,nan,nan,[]
steamboatpilot,nan,nan,[]
SP_Sentinel,nan,nan,[]
SterlingJA,nan,nan,[]
CoHoWeekly,nan,nan,[]
TelluridePlanet,nan,nan,[]
watchnewspapers,nan,nan,[]
TrinidadTI,nan,nan,[]
vaildaily,nan,nan,[]
huerfanojournal,nan,nan,[]
WindsorBeacon,nan,nan,[]
TMountainJ,nan,nan,[]
coskiauthority,nan,nan,[]
RMCollegian,nan,nan,[]
flcindependent,nan,nan,[]
themetonline,nan,nan,[]
ucd_advocate,nan,nan,[]
duclarion,nan,nan,[]
