user,sentiment,subjectivity,tweets
TheFVT,nan,nan,[]
Berlin_Citizen,nan,nan,[]
hamlethub,nan,nan,[]
thesoundct,nan,nan,[]
TheBportNews,nan,nan,[]
connpost,nan,nan,[]
BristolPress,nan,nan,[]
newstimes,nan,nan,[]
TribunaCT,nan,nan,[]
DarienHamletHub,nan,nan,[]
DarienNews,nan,nan,[]
darientimes,nan,nan,[]
ehcourier,nan,nan,[]
EastonCourier,nan,nan,[]
valleycourier,nan,nan,[]
ffldcitizen,nan,nan,[]
FCBJonline,nan,nan,[]
Fairfield_HH,nan,nan,[]
Fairfieldminute,nan,nan,[]
FairfieldSun,nan,nan,[]
greenwichpost,nan,nan,[]
GreenwichTime,nan,nan,[]
thedayct,nan,nan,[]
guilfordcourier,nan,nan,[]
shorelinetimes,nan,nan,[]
hamdenjournal,nan,nan,[]
commercialrec,nan,nan,[]
HtfdAdvTonight,nan,nan,[]
hartfordbiz,nan,nan,[]
hartfordcourant,nan,nan,[]
identidadlatina,nan,nan,[]
SheltonHerald,nan,nan,[]
thedayct,nan,nan,[]
thesourcect,nan,nan,[]
JournalInquirer,nan,nan,[]
Record_Journal ,nan,nan,[]
thetowntimes,nan,nan,[]
middletownpress,nan,nan,[]
Milfordmirror ,nan,nan,[]
monroecourier,nan,nan,[]
thedayct,nan,nan,[]
mrptweets,nan,nan,[]
mycitizensnews,nan,nan,[]
nbherald,nan,nan,[]
ncadvertiser,nan,nan,[]
NewCanaanNews,nan,nan,[]
lavozhispanact,nan,nan,[]
NwHavenAdvocate,nan,nan,[]
newhavenindy,nan,nan,[]
nhregister,nan,nan,[]
thedayct,nan,nan,[]
thedayct,nan,nan,[]
thelct,nan,nan,[]
newstimes,nan,nan,[]
thenewtownbee,nan,nan,[]
Newtown_HH,nan,nan,[]
nhcourier,nan,nan,[]
TheHourNews,nan,nan,[]
norwichbulletin ,nan,nan,[]
harbornews,nan,nan,[]
pvillecitizen,nan,nan,[]
ReddingHH,nan,nan,[]
reddingpilot,nan,nan,[]
HamletHubRidge,nan,nan,[]
ridgefieldpress,nan,nan,[]
ValleyGazette,nan,nan,[]
SCitizen_News,nan,nan,[]
stamadvocate,nan,nan,[]
elsolnews,nan,nan,[]
fairfieldweekly,nan,nan,[]
Stamford_Times,nan,nan,[]
StratfordStar,nan,nan,[]
registercitizen,nan,nan,[]
trumbulltimes,nan,nan,[]
thepeoplespress,nan,nan,[]
WtbyObserver,nan,nan,[]
rep_am,nan,nan,[]
WHartfordNews,nan,nan,[]
westonforum,nan,nan,[]
Westport_HH,nan,nan,[]
westportminute,nan,nan,[]
wptnews,nan,nan,[]
WestportNow,nan,nan,[]
wiltonbulletin,nan,nan,[]
hh_wilton,nan,nan,[]
wilton_villager,nan,nan,[]
AmityObserver,nan,nan,[]
guardianeditor,nan,nan,[]
milfordliving,nan,nan,[]
NCDmag,nan,nan,[]
berkshiremag,nan,nan,[]
stamfordplus,nan,nan,[]
connecticutmag,nan,nan,[]
moffly_media,nan,nan,[]
TheRecorder,nan,nan,[]
thecollegevoice,nan,nan,[]
FairfieldMirror,nan,nan,[]
Southern_News,nan,nan,[]
uconn,nan,nan,[]
Theubscribe,nan,nan,[]
The_DailyCampus,nan,nan,[]
uhainformer,nan,nan,[]
wesleyanargus,nan,nan,[]
yaleherald,nan,nan,[]
YaleDailyNews,nan,nan,[]
