user,sentiment,subjectivity,tweets
communitypapers,nan,nan,[]
tbnwebmaster,nan,nan,[]
BocaBeacon,nan,nan,[]
HappyHeraldNews,nan,nan,[]
bocatribune,nan,nan,[]
PineIslandEagle,nan,nan,[]
wcn_hct,nan,nan,[]
ndn,nan,nan,[]
bradentonherald,nan,nan,[]
TBOcom,nan,nan,[]
OspreyObserver,nan,nan,[]
CLJNews,nan,nan,[]
hernandotoday,nan,nan,[]
CapeCoralDaily,nan,nan,[]
TBOcom,nan,nan,[]
TBOcom,nan,nan,[]
cedarkeybeacon,nan,nan,[]
News4Levy,nan,nan,[]
chipleybugle,nan,nan,[]
tbnwebmaster,nan,nan,[]
sunsentinel,nan,nan,[]
TheWakullaNews,nan,nan,[]
cnbulletin,nan,nan,[]
CitrusChronicle,nan,nan,[]
dbnewsjournal,nan,nan,[]
beacononline,nan,nan,[]
destinlog,nan,nan,[]
EnglewoodSun,nan,nan,[]
sflabizjournal,nan,nan,[]
sunsentinel,nan,nan,[]
FloridaWeekly,nan,nan,[]
thenewspress,nan,nan,[]
FMyersBeachTalk,nan,nan,[]
tcpalm,nan,nan,[]
nwfdailynews,nan,nan,[]
TheAlligator,nan,nan,[]
gainesvillesun,nan,nan,[]
gulfbreezenews,nan,nan,[]
tbnwebmaster,nan,nan,[]
JaxBizJournal,nan,nan,[]
jaxdotcom ,nan,nan,[]
folioweekly,nan,nan,[]
JaxDailyRecord,nan,nan,[]
tcpalm,nan,nan,[]
IslanderNews,nan,nan,[]
keywestcitizen,nan,nan,[]
OsceolaNews,nan,nan,[]
theledger,nan,nan,[]
tbnwebmaster,nan,nan,[]
dailycommercial,nan,nan,[]
LehighAcresCit,nan,nan,[]
LehighAcresGaze,nan,nan,[]
thenewspress,nan,nan,[]
Merchantsmarke1,nan,nan,[]
suwanneedemocra,nan,nan,[]
BakerCoPress,nan,nan,[]
greenepublish,nan,nan,[]
marconews,nan,nan,[]
thenewspress,nan,nan,[]
jcfloridannews,nan,nan,[]
JCTIMES,nan,nan,[]
florida_today,nan,nan,[]
communitypapers,nan,nan,[]
elnuevoherald,nan,nan,[]
miamiherald,nan,nan,[]
MiamiNewTimes,nan,nan,[]
TheMiamiTimes,nan,nan,[]
MiamiTodayNews,nan,nan,[]
Miamicom,nan,nan,[]
srpressgazette,nan,nan,[]
ndn,nan,nan,[]
navarrepress,nan,nan,[]
NSBNEWSnet,nan,nan,[]
OcalaStarBanner,nan,nan,[]
claytoday,nan,nan,[]
objupdate,nan,nan,[]
orlandosentinel,nan,nan,[]
ORLANDOWEEKLY,nan,nan,[]
ShinySheet,nan,nan,[]
NewTimesBroward,nan,nan,[]
pbpost,nan,nan,[]
The_News_Herald,nan,nan,[]
pnj,nan,nan,[]
TheRecorderPV,nan,nan,[]
CharlotteSunFla,nan,nan,[]
PSJ_Star,nan,nan,[]
TCPalm,nan,nan,[]
FloridaWeekly,nan,nan,[]
staugrecord,nan,nan,[]
tb_times,nan,nan,[]
SanfordHerald,nan,nan,[]
CaptivaSanibel,nan,nan,[]
CaptivaSanibel,nan,nan,[]
WaltonSun,nan,nan,[]
heraldtribune,nan,nan,[]
ObserverGroup,nan,nan,[]
tcpalm,nan,nan,[]
TheNewsSun,nan,nan,[]
tbnwebmaster,nan,nan,[]
StuartNews,nan,nan,[]
TDOnline,nan,nan,[]
daytonatimes,nan,nan,[]
flcourier,nan,nan,[]
TBBJnewsroom,nan,nan,[]
tbocom,nan,nan,[]
tbocom,nan,nan,[]
VeniceGondolier,nan,nan,[]
TCChronicle,nan,nan,[]
PWMonthly,nan,nan,[]
towncrieronline,nan,nan,[]
DiarioPalmBeach,nan,nan,[]
pbpost,nan,nan,[]
PioneerSun,nan,nan,[]
iwantaBUZZ,nan,nan,[]
FL_Sportsman,nan,nan,[]
FLTravelLife,nan,nan,[]
resident321,nan,nan,[]
TFamuan,nan,nan,[]
upressonline,nan,nan,[]
FSView,nan,nan,[]
FTCrimson,nan,nan,[]
UCFnews,nan,nan,[]
thealligator,nan,nan,[]
MiamiHurricane,nan,nan,[]
USFOracle,nan,nan,[]
Minaret,nan,nan,[]
UNFspinnaker,nan,nan,[]
