user,sentiment,subjectivity,tweets
Albany_Herald,nan,nan,[]
TMGPublishingCo,nan,nan,[]
thealmatimes,nan,nan,[]
northfulton,nan,nan,[]
WiregrassFarmer,nan,nan,[]
onlineathens,nan,nan,[]
PubNotes,nan,nan,[]
atlbizchron,nan,nan,[]
ADWNews,nan,nan,[]
ajc,nan,nan,[]
theatlantavoice,nan,nan,[]
Reporter_News,nan,nan,[]
cl_atlanta,nan,nan,[]
DeKalbNeighbor,nan,nan,[]
ELNUEVOGEORGIA,nan,nan,[]
dailyreport,nan,nan,[]
LikeTheDew,nan,nan,[]
MundoHispanico,nan,nan,[]
AUG_Chronicle,nan,nan,[]
TheMetroSpirit,nan,nan,[]
postsearchlight,nan,nan,[]
waltergeiger,nan,nan,[]
neighbornews,nan,nan,[]
blacksheartimes,nan,nan,[]
newsobserver,nan,nan,[]
Reporter_News,nan,nan,[]
thefloridastar,nan,nan,[]
CalhounTimes,nan,nan,[]
CherokeeTribune,nan,nan,[]
TimesGeorgian,nan,nan,[]
dailytribnews,nan,nan,[]
polkfishwrap,nan,nan,[]
neighbornews,nan,nan,[]
ledgerenquirer,nan,nan,[]
rockdalecitizen,nan,nan,[]
rockdalenews,nan,nan,[]
covnews,nan,nan,[]
newton_citizen,nan,nan,[]
forsythnews,nan,nan,[]
NuggetDahlonega,nan,nan,[]
neighbornews,nan,nan,[]
thedailycitizen,nan,nan,[]
mcjournal,nan,nan,[]
dawsonnews,nan,nan,[]
championNews,nan,nan,[]
DglsEnterprise,nan,nan,[]
douglassentinel,nan,nan,[]
neighbornews,nan,nan,[]
courierherald,nan,nan,[]
dunwoodycrier,nan,nan,[]
neighbornews,nan,nan,[]
neighbornews,nan,nan,[]
TimesCourier,nan,nan,[]
thecitizencom,nan,nan,[]
gtimes,nan,nan,[]
jonescountynews,nan,nan,[]
coastalcourier,nan,nan,[]
ClinchCoNews,nan,nan,[]
pickensprogress,nan,nan,[]
neighbornews,nan,nan,[]
brightsidenews1,nan,nan,[]
catwalkchatt,nan,nan,[]
lagrangenews,nan,nan,[]
GwinnettDaily,nan,nan,[]
MorganCitizen,nan,nan,[]
mdjonline,nan,nan,[]
ColumbiaCounty,nan,nan,[]
neighbornews,nan,nan,[]
MetterAdvertise,nan,nan,[]
unionrecorder,nan,nan,[]
waltontribune,nan,nan,[]
TBEOL,nan,nan,[]
TimesHerald,nan,nan,[]
hhjnews,nan,nan,[]
bryancountynews,nan,nan,[]
EffinghamHerald,nan,nan,[]
catwalkchatt,nan,nan,[]
romenewstribune,nan,nan,[]
neighbornews,nan,nan,[]
tribunegeorgian,nan,nan,[]
neighbornews,nan,nan,[]
Reporter_News,nan,nan,[]
ConnectSavannah,nan,nan,[]
savannahnow,nan,nan,[]
Savannah_Herald,nan,nan,[]
TheSavannahTrib,nan,nan,[]
ConnectBoro,nan,nan,[]
boroherald,nan,nan,[]
TheSvilleNews,nan,nan,[]
MySboroNews,nan,nan,[]
timesenterprise,nan,nan,[]
TiftonGazette1,nan,nan,[]
TheVDT,nan,nan,[]
TheVillaRican,nan,nan,[]
neighbornews,nan,nan,[]
WWNewsReporter,nan,nan,[]
Barrow_Journal,nan,nan,[]
CherokeeLedger,nan,nan,[]
discoveratlanta,nan,nan,[]
LikeTheDew,nan,nan,[]
ngaliving,nan,nan,[]
savmag,nan,nan,[]
georgiamagazine,nan,nan,[]
exploregeorgia,nan,nan,[]
TowneLaker,nan,nan,[]
emorywheel,nan,nan,[]
GCSUnade,nan,nan,[]
TheGeorgeAnne,nan,nan,[]
gsusignal,nan,nan,[]
the_nique,nan,nan,[]
ksusentinel,nan,nan,[]
scaddistrict,nan,nan,[]
TheStingSPSU,nan,nan,[]
UGACOLUMNS,nan,nan,[]
redandblack,nan,nan,[]
vsuspectator,nan,nan,[]
