user,sentiment,subjectivity,tweets
DallasCoNews,nan,nan,[]
AmesTribNews,nan,nan,[]
NewsTelegraph,nan,nan,[]
bdemo1,nan,nan,[]
newsrepublican,nan,nan,[]
thehawkeye,nan,nan,[]
gazettedotcom,nan,nan,[]
dailyiowegian,nan,nan,[]
CCPress,nan,nan,[]
WCMonitor,nan,nan,[]
CLReporter,nan,nan,[]
ClintonHerald,nan,nan,[]
nonpareilonline,nan,nan,[]
qctimes,nan,nan,[]
RCReader,nan,nan,[]
dmregister,nan,nan,[]
telegraphherald,nan,nan,[]
eaglegroveeagle,nan,nan,[]
Messenger_News,nan,nan,[]
dailydem,nan,nan,[]
GrundyReg,nan,nan,[]
TheHReporter,nan,nan,[]
hamptonchron,nan,nan,[]
IndianolaTrib,nan,nan,[]
presscitizen,nan,nan,[]
dailygatecity,nan,nan,[]
lmdsentinel,nan,nan,[]
marshalltowntr,nan,nan,[]
globegazette,nan,nan,[]
MPNewstweets,nan,nan,[]
journalonline,nan,nan,[]
NewtonDNews,nan,nan,[]
OgdenReporter,nan,nan,[]
OskyHerald,nan,nan,[]
OttumwaCourier,nan,nan,[]
sigourneynews,nan,nan,[]
scj,nan,nan,[]
SolonEconomist,nan,nan,[]
sltimes,nan,nan,[]
wcfcourier,nan,nan,[]
FreemanJournal,nan,nan,[]
WBTimes,nan,nan,[]
iowafarmertoday,nan,nan,[]
okobojionline,nan,nan,[]
Travel_Iowa,nan,nan,[]
thetack,nan,nan,[]
TimesDelphic,nan,nan,[]
thesandb,nan,nan,[]
iowastatedaily,nan,nan,[]
communiqueksp,nan,nan,[]
SimpsonianSC,nan,nan,[]
TheDailyIowan,nan,nan,[]
NorthernIowan,nan,nan,[]
WartburgCircuit,nan,nan,[]
