user,sentiment,subjectivity,tweets
heraldbulletin,nan,nan,[]
kpcnews,nan,nan,[]
theheraldtimes,nan,nan,[]
newsbanner,nan,nan,[]
TheBrazilTimes,nan,nan,[]
jcbanner,nan,nan,[]
ThePostandMail,nan,nan,[]
therepublicnews,nan,nan,[]
corydondemocrat,nan,nan,[]
journalreview,nan,nan,[]
elkharttruth,nan,nan,[]
courierpress,nan,nan,[]
INK_Newspaper,nan,nan,[]
JGfortwayne,nan,nan,[]
newssentinel,nan,nan,[]
WaynedaleNews,nan,nan,[]
ftimes,nan,nan,[]
DailyJournalNet,nan,nan,[]
ELPUENTENEWS,nan,nan,[]
YourGoshenNews,nan,nan,[]
GreenfieldDR ,nan,nan,[]
hcnewstimes,nan,nan,[]
TheHeraldPress,nan,nan,[]
IBJnews,nan,nan,[]
funcityindy,nan,nan,[]
IndyRecorder,nan,nan,[]
indystar,nan,nan,[]
nuvo_net,nan,nan,[]
southsidetimes,nan,nan,[]
newsandtribune,nan,nan,[]
kpcnews,nan,nan,[]
kokomoherald,nan,nan,[]
KokomoNews,nan,nan,[]
kokomotribune,nan,nan,[]
HeraldArgus,nan,nan,[]
jconline,nan,nan,[]
lebanonreporter,nan,nan,[]
pharostribune,nan,nan,[]
madisoncourier,nan,nan,[]
Marion_CT,nan,nan,[]
posttrib,nan,nan,[]
TheNewsDispatch,nan,nan,[]
thehj,nan,nan,[]
muncievoice,nan,nan,[]
TheStarPress,nan,nan,[]
nwi,nan,nan,[]
bcdemocrat,nan,nan,[]
thisisbrowncty,nan,nan,[]
TheCourierTimes,nan,nan,[]
PoseyCountyNews,nan,nan,[]
ocpnews,nan,nan,[]
TimesPost,nan,nan,[]
PeruTribune,nan,nan,[]
TheHCFlyer,nan,nan,[]
PlymouthPilot,nan,nan,[]
commreview,nan,nan,[]
pdclarion,nan,nan,[]
RensselaerNews,nan,nan,[]
pi_news,nan,nan,[]
Rush_Republican ,nan,nan,[]
seymourtribune,nan,nan,[]
ShelbyvilleNews,nan,nan,[]
SBTribune,nan,nan,[]
tribstar,nan,nan,[]
WabashPD,nan,nan,[]
tuonline,nan,nan,[]
zts1860,nan,nan,[]
IIB,nan,nan,[]
inspiredkidmag,nan,nan,[]
thehypemagazine,nan,nan,[]
Ryder_Films,nan,nan,[]
andersonian,nan,nan,[]
bsudailynews,nan,nan,[]
butlercollegian,nan,nan,[]
TheDePauw,nan,nan,[]
GCRecord,nan,nan,[]
ISUstatesman,nan,nan,[]
idsnews,nan,nan,[]
ObserverNDSMC,nan,nan,[]
purdueexponent,nan,nan,[]
PUCChronicle,nan,nan,[]
