user,sentiment,subjectivity,tweets
BCtimesgazette,nan,nan,[]
atchisonglobe,nan,nan,[]
BCtimesgazette,nan,nan,[]
baldwincity,nan,nan,[]
basehorsentinel,nan,nan,[]
bonnersprings,nan,nan,[]
chanutetribune,nan,nan,[]
TimesSentinel1,nan,nan,[]
DerbyInformer,nan,nan,[]
dcglobe,nan,nan,[]
HighPlainsJrnl,nan,nan,[]
BCtimesgazette,nan,nan,[]
indyrep,nan,nan,[]
emporiagazette,nan,nan,[]
FSTribune,nan,nan,[]
gctelegram,nan,nan,[]
GB_Tribune,nan,nan,[]
TheKiowaSignal,nan,nan,[]
NorthWestKansas,nan,nan,[]
RecordTime,nan,nan,[]
HutchNews,nan,nan,[]
iolaregister,nan,nan,[]
thedailyunion,nan,nan,[]
kckansan,nan,nan,[]
KCStar,nan,nan,[]
basehorsentinel,nan,nan,[]
LVTimesNews,nan,nan,[]
ljworld,nan,nan,[]
fortleavenworth,nan,nan,[]
LVTimesNews,nan,nan,[]
MERCnewsroom ,nan,nan,[]
marionrecord,nan,nan,[]
MarysvilleTweet,nan,nan,[]
macsentinel,nan,nan,[]
ChadFrey,nan,nan,[]
OsageCounty,nan,nan,[]
oheraldnews,nan,nan,[]
ParsonsSun,nan,nan,[]
The_Morning_Sun,nan,nan,[]
PrattTribune,nan,nan,[]
salinajournal,nan,nan,[]
shawneedispatch,nan,nan,[]
tonganoxie,nan,nan,[]
CJ_news,nan,nan,[]
arkvalleynews,nan,nan,[]
wgtndailynews,nan,nan,[]
ICTBizJournal,nan,nan,[]
kansasdotcom,nan,nan,[]
winfieldcourier,nan,nan,[]
esubulletin,nan,nan,[]
kstatecollegian,nan,nan,[]
udk_news,nan,nan,[]
PSU_Collegio,nan,nan,[]
sunflowernews,nan,nan,[]
