user,sentiment,subjectivity,tweets
DIndependent,nan,nan,[]
mtnadvocateky,nan,nan,[]
KyStandard,nan,nan,[]
bgdailynews,nan,nan,[]
thecadizrecord,nan,nan,[]
cknjnews,nan,nan,[]
cwnewsjournal,nan,nan,[]
TimesTribuneKY,nan,nan,[]
CynDemo,nan,nan,[]
amnewsonline,nan,nan,[]
NEheadlines,nan,nan,[]
HCLocal,nan,nan,[]
statejournal,nan,nan,[]
NewsGraphic,nan,nan,[]
thejournaltimes,nan,nan,[]
TheGleanerNews,nan,nan,[]
kentuckynewera,nan,nan,[]
TheOldhamEra,nan,nan,[]
TheAndersonNews,nan,nan,[]
LEnterprise,nan,nan,[]
gcnewsgazette,nan,nan,[]
heraldleader,nan,nan,[]
sentinelecho,nan,nan,[]
BFLouisville,nan,nan,[]
courierjournal,nan,nan,[]
MessengerOnline,nan,nan,[]
CrittendenPress,nan,nan,[]
LedgerNewsroom,nan,nan,[]
DailyNewsSEKY,nan,nan,[]
TheMoreheadNews,nan,nan,[]
murrayledger,nan,nan,[]
thejj,nan,nan,[]
owensboromi,nan,nan,[]
PaducahSunNews,nan,nan,[]
AppalachianNews,nan,nan,[]
floydcotimes,nan,nan,[]
RichmondRsports,nan,nan,[]
TheSentinelNews,nan,nan,[]
readthesun,nan,nan,[]
grantcountynews,nan,nan,[]
winchestersun,nan,nan,[]
bizlex,nan,nan,[]
ChevyChaserMag,nan,nan,[]
SouthsiderMag,nan,nan,[]
louisvillecom,nan,nan,[]
brcmagazine,nan,nan,[]
TheCatsPause,nan,nan,[]
KentuckyMonthly,nan,nan,[]
asburycollegian,nan,nan,[]
TheConcordBU,nan,nan,[]
easternprogress,nan,nan,[]
MurrayStateNews,nan,nan,[]
northernermedia,nan,nan,[]
kykernel,nan,nan,[]
TheCardinalNews,nan,nan,[]
wkuherald,nan,nan,[]
