user,sentiment,subjectivity,tweets
TownTalkDotCom,nan,nan,[]
DailyEnterprise,nan,nan,[]
2theadvocate,nan,nan,[]
brbizreport,nan,nan,[]
BossierPress,nan,nan,[]
LPNews1898,nan,nan,[]
beauregardnews,nan,nan,[]
dvillechief,nan,nan,[]
WeeklyCitizen,nan,nan,[]
hammondlastar,nan,nan,[]
houmatoday,nan,nan,[]
theadvertiser,nan,nan,[]
timesofacadiana,nan,nan,[]
americanpress,nan,nan,[]
LDLeader,nan,nan,[]
freepress1969 ,nan,nan,[]
thenewsstar,nan,nan,[]
NatchitochesTim,nan,nan,[]
City_Business,nan,nan,[]
clarionHerald,nan,nan,[]
The_Gambit,nan,nan,[]
nolanews,nan,nan,[]
The_Daily_World,nan,nan,[]
PPostSouth,nan,nan,[]
RustonLeader ,nan,nan,[]
shreveporttimes,nan,nan,[]
SulphurNews,nan,nan,[]
dailycomet,nan,nan,[]
OuachitaCitizen,nan,nan,[]
LALifeMag,nan,nan,[]
louisianatravel,nan,nan,[]
offbeatmagazine,nan,nan,[]
sb_magazine_,nan,nan,[]
SBForumNews,nan,nan,[]
DigBatonRouge,nan,nan,[]
lsureveille,nan,nan,[]
thetechtalk,nan,nan,[]
Loyola_Maroon,nan,nan,[]
NichollsWorth,nan,nan,[]
lionsroarnews,nan,nan,[]
SouthernDigest,nan,nan,[]
the_hullabaloo,nan,nan,[]
thevermilion,nan,nan,[]
