user,sentiment,subjectivity,tweets
AbingtonMariner,nan,nan,[]
actonbeacon,nan,nan,[]
amesbury_news,nan,nan,[]
AndoverTownsman,nan,nan,[]
the_advocate,nan,nan,[]
AshlandTab,nan,nan,[]
thesunchronicle,nan,nan,[]
NashobaPub,nan,nan,[]
wlbarnstable,nan,nan,[]
BedfordMaNews,nan,nan,[]
countrygazette,nan,nan,[]
citizenherald,nan,nan,[]
BeverlyCitizen,nan,nan,[]
billericamm,nan,nan,[]
boltoncommon,nan,nan,[]
BostonBizJournl,nan,nan,[]
BostonGlobe,nan,nan,[]
bostonherald,nan,nan,[]
BostonAngela,nan,nan,[]
csmonitor,nan,nan,[]
dotnews,nan,nan,[]
masshightech,nan,nan,[]
SBOnline99,nan,nan,[]
YourSouthBoston,nan,nan,[]
wlcapecod,nan,nan,[]
actonbeacon,nan,nan,[]
ttranscript,nan,nan,[]
braintreepaper,nan,nan,[]
BwIndependent,nan,nan,[]
enterprisenews,nan,nan,[]
BrooklineTAB,nan,nan,[]
burlingtonunion,nan,nan,[]
cambridgechron,nan,nan,[]
CantonCitizen,nan,nan,[]
CantonJournal,nan,nan,[]
carverreporter,nan,nan,[]
CCCNewsroom,nan,nan,[]
chelmsford,nan,nan,[]
ClintonCourier,nan,nan,[]
cohassetmariner,nan,nan,[]
concordjournal,nan,nan,[]
danversherald,nan,nan,[]
tauntontogo,nan,nan,[]
duxburyclipper,nan,nan,[]
duxburyreporter,nan,nan,[]
TheReminderMA,nan,nan,[]
EastonJournal,nan,nan,[]
vineyardgazette,nan,nan,[]
capeann_beacon,nan,nan,[]
hnnow,nan,nan,[]
Ojornal1,nan,nan,[]
WLFalmouth,nan,nan,[]
capenewsdotnet,nan,nan,[]
sentandent,nan,nan,[]
CountryGazette,nan,nan,[]
framinghamtab,nan,nan,[]
metrowestdaily,nan,nan,[]
CountryGazette,nan,nan,[]
GtownRecord,nan,nan,[]
capeann_beacon,nan,nan,[]
GDTnews,nan,nan,[]
TheRecorderNews,nan,nan,[]
hpreporter,nan,nan,[]
hwchronicle,nan,nan,[]
hanovermariner,nan,nan,[]
WLCapeCod,nan,nan,[]
ValleyAdvocate,nan,nan,[]
hinghamjournal,nan,nan,[]
holbrooksun,nan,nan,[]
thelandmarknews,nan,nan,[]
HollistonTAB,nan,nan,[]
HopkintonCrier,nan,nan,[]
TheHudsonSun,nan,nan,[]
patriotledger,nan,nan,[]
capecodtimes,nan,nan,[]
ipswich_chron,nan,nan,[]
kingstonreport,nan,nan,[]
EagleTrib,nan,nan,[]
wickedlocallex,nan,nan,[]
LincolnJournal1,nan,nan,[]
LittletonIndie,nan,nan,[]
LowellSunNews ,nan,nan,[]
itemlive,nan,nan,[]
maldenobserver,nan,nan,[]
MansfieldNews1,nan,nan,[]
mheadreporter,nan,nan,[]
marlenterprise,nan,nan,[]
marshfieldpaper,nan,nan,[]
thewanderer,nan,nan,[]
tritownsentinel,nan,nan,[]
beaconvillager,nan,nan,[]
MedfieldPress,nan,nan,[]
medford_trans,nan,nan,[]
MelroseFreePrss,nan,nan,[]
milforddaily,nan,nan,[]
ttranscript,nan,nan,[]
milforddaily,nan,nan,[]
millburysutton,nan,nan,[]
MHGazette,nan,nan,[]
InkyM,nan,nan,[]
wickedlocal,nan,nan,[]
needhamtimes,nan,nan,[]
southcoasttoday ,nan,nan,[]
newburyportnews,nan,nan,[]
newburyport_cur,nan,nan,[]
countrygazette,nan,nan,[]
NAndoverCitizen,nan,nan,[]
gazettenet,nan,nan,[]
NortonMirror,nan,nan,[]
norwellmariner,nan,nan,[]
dedhamtranscrip,nan,nan,[]
NorwoodTranscri,nan,nan,[]
pembrokenews,nan,nan,[]
berkshireeagle,nan,nan,[]
OldColony,nan,nan,[]
ptownbanner,nan,nan,[]
patriotledger,nan,nan,[]
RevereJournal,nan,nan,[]
salemnews,nan,nan,[]
VilleJournal,nan,nan,[]
somervilletimes,nan,nan,[]
SouthbridgeNews,nan,nan,[]
TauntonToGo,nan,nan,[]
ValleyTribune,nan,nan,[]
TheMVTimes,nan,nan,[]
walthamnewstrib,nan,nan,[]
webstertimes,nan,nan,[]
wellesleytown,nan,nan,[]
CommunityAdNews,nan,nan,[]
telegramdotcom,nan,nan,[]
wbjournal,nan,nan,[]
BostonMagazine,nan,nan,[]
StuffNightlife,nan,nan,[]
capecodlife,nan,nan,[]
thelionessgroup,nan,nan,[]
baystateparent,nan,nan,[]
hceronline,nan,nan,[]
theimproper,nan,nan,[]
tweetnewengland,nan,nan,[]
BabsonFreep,nan,nan,[]
bcheights,nan,nan,[]
dailyfreepress,nan,nan,[]
thejustice,nan,nan,[]
BeaconUpdate,nan,nan,[]
thecrimson,nan,nan,[]
harvardindy,nan,nan,[]
TheHCCrusader,nan,nan,[]
thetech,nan,nan,[]
huntnewsnu,nan,nan,[]
SuffolkJournal,nan,nan,[]
tuftsdaily,nan,nan,[]
CollegianStaff,nan,nan,[]
williams_record,nan,nan,[]
WPI,nan,nan,[]
