user,sentiment,subjectivity,tweets
BayWeekly,nan,nan,[]
capgaznews,nan,nan,[]
BaltBizOnline,nan,nan,[]
city_paper,nan,nan,[]
baltimoresun,nan,nan,[]
baltimore_times,nan,nan,[]
mddailyrecord,nan,nan,[]
examinercom,nan,nan,[]
HarfordAegis,nan,nan,[]
Gazette_Net,nan,nan,[]
Gazette_Net,nan,nan,[]
GuilfordGazette,nan,nan,[]
CumberlandTN,nan,nan,[]
TheDundalkEagle,nan,nan,[]
stardem_news,nan,nan,[]
cecil_whig,nan,nan,[]
frednewspost,nan,nan,[]
Gazette_Net,nan,nan,[]
heraldmailnews,nan,nan,[]
laurelleader,nan,nan,[]
OC_Today_News,nan,nan,[]
MyDelmarvaNow,nan,nan,[]
MyDelmarvaNow,nan,nan,[]
MyDelmarvaNow,nan,nan,[]
mocosentinel,nan,nan,[]
CCTNews,nan,nan,[]
BottomLineFSU,nan,nan,[]
JHUNewsLetter,nan,nan,[]
loyolagreyhound,nan,nan,[]
TheTowerlight,nan,nan,[]
thedbk,nan,nan,[]
retrieverweekly,nan,nan,[]
