user,sentiment,subjectivity,tweets
kj_online,nan,nan,[]
bangordailynews,nan,nan,[]
JournalTribune,nan,nan,[]
BBRegister,nan,nan,[]
MidcoastNews,nan,nan,[]
EllsAmerican,nan,nan,[]
fenceviewer,nan,nan,[]
the_forecaster,nan,nan,[]
sunjournal,nan,nan,[]
twincitytimes,nan,nan,[]
threeriversme,nan,nan,[]
AdvDem,nan,nan,[]
pressherald,nan,nan,[]
currentreports,nan,nan,[]
currentreports,nan,nan,[]
currentreports,nan,nan,[]
currentreports,nan,nan,[]
onlinesentinel,nan,nan,[]
WiscassetNews,nan,nan,[]
TheYorkWeekly,nan,nan,[]
LewAubMagazine,nan,nan,[]
MagazineofMaine,nan,nan,[]
maineboats,nan,nan,[]
MaineGuides,nan,nan,[]
Mainebiz,nan,nan,[]
bowdoinorient,nan,nan,[]
thecolbyecho,nan,nan,[]
usmfreepress,nan,nan,[]
themainecampus,nan,nan,[]
