user,sentiment,subjectivity,tweets
lenaweenews ,nan,nan,[]
TheAlpenaNews,nan,nan,[]
A2Indy,nan,nan,[]
annarbornews,nan,nan,[]
bcenquirer,nan,nan,[]
baycitytimes,nan,nan,[]
bcgazette,nan,nan,[]
bmicnews,nan,nan,[]
CadillacNews,nan,nan,[]
ChxCourier,nan,nan,[]
mihomepaper,nan,nan,[]
mihomepaper,nan,nan,[]
pressandguide,nan,nan,[]
crainsdetroit,nan,nan,[]
freep,nan,nan,[]
detroitnews,nan,nan,[]
metrotimes,nan,nan,[]
michronicle,nan,nan,[]
MichiganCitizen,nan,nan,[]
dowagiacnews,nan,nan,[]
TheDailyPress,nan,nan,[]
tctimes,nan,nan,[]
flintjournal,nan,nan,[]
speerjt,nan,nan,[]
mihomepaper,nan,nan,[]
ghtribune,nan,nan,[]
grbj,nan,nan,[]
grpress,nan,nan,[]
lazocultural,nan,nan,[]
greenvilledn,nan,nan,[]
IleCamera,nan,nan,[]
OceanaHJ,nan,nan,[]
HillsdaleDaily,nan,nan,[]
hollandsentinel,nan,nan,[]
TheHollyExpress,nan,nan,[]
TheDMG,nan,nan,[]
livingstondaily,nan,nan,[]
imdailynews,nan,nan,[]
jacksoncitpat ,nan,nan,[]
TheLegalNews,nan,nan,[]
kzoo_gazette,nan,nan,[]
LSJnews,nan,nan,[]
mihomepaper,nan,nan,[]
Hometownlife,nan,nan,[]
LudingtonDN,nan,nan,[]
MiningJournal,nan,nan,[]
mdn ,nan,nan,[]
SalineMilanNews,nan,nan,[]
OscodaHerald,nan,nan,[]
monroenews,nan,nan,[]
macombdaily,nan,nan,[]
MPMorningSun,nan,nan,[]
MuskegonChron,nan,nan,[]
VoicenewsNB ,nan,nan,[]
nilesstar,nan,nan,[]
Hometownlife,nan,nan,[]
Hometownlife,nan,nan,[]
arguspress,nan,nan,[]
petoskeynews,nan,nan,[]
TheOaklandPress,nan,nan,[]
thetimesherald,nan,nan,[]
dailytrib,nan,nan,[]
saginawnews,nan,nan,[]
RoscoWeekly,nan,nan,[]
heraldpalladium,nan,nan,[]
SalineMilanNews,nan,nan,[]
mihomepaper,nan,nan,[]
Hometownlife,nan,nan,[]
NewsHeraldMI,nan,nan,[]
ArenacIndy,nan,nan,[]
sturgisnewsroom,nan,nan,[]
TecumsehHerald,nan,nan,[]
threeriversnews,nan,nan,[]
recordeagle,nan,nan,[]
TheGTInsider,nan,nan,[]
recordeagle,nan,nan,[]
advisorsource,nan,nan,[]
OgemawHerald,nan,nan,[]
HeritageNews,nan,nan,[]
grmagazine,nan,nan,[]
MIOutOfDoors,nan,nan,[]
MiBiz,nan,nan,[]
michiganmagazin,nan,nan,[]
mynorth,nan,nan,[]
PleiadOnline,nan,nan,[]
CalvinChimes,nan,nan,[]
CMLIFE,nan,nan,[]
theeasternecho,nan,nan,[]
FSUTORCH,nan,nan,[]
GVLanthorn,nan,nan,[]
HDaleCollegian,nan,nan,[]
thesnews,nan,nan,[]
MTULode,nan,nan,[]
theoaklandpost,nan,nan,[]
michigandaily,nan,nan,[]
michiganjournal,nan,nan,[]
TheSouthEnd,nan,nan,[]
WesternHerald,nan,nan,[]
