user,sentiment,subjectivity,tweets
aitkinage,nan,nan,[]
altribune,nan,nan,[]
echopress,nan,nan,[]
abcnewspapers,nan,nan,[]
austinherald,nan,nan,[]
bemidji,nan,nan,[]
abcnewspapers,nan,nan,[]
SunCurrent,nan,nan,[]
brd_dispatch,nan,nan,[]
SunThisweek,nan,nan,[]
caledoniaargus ,nan,nan,[]
isanticonews,nan,nan,[]
ChanhassenNews,nan,nan,[]
chaskaherald,nan,nan,[]
abcnewspapers,nan,nan,[]
swcbulletin,nan,nan,[]
CrookstonTimes,nan,nan,[]
duluthnews,nan,nan,[]
duluthshipping,nan,nan,[]
edenprairienews,nan,nan,[]
TomCoombe8,nan,nan,[]
TheSentinelMN,nan,nan,[]
FboNews,nan,nan,[]
journalnewsroom,nan,nan,[]
forestlaketimes,nan,nan,[]
grheraldreview,nan,nan,[]
hastingsmn,nan,nan,[]
HibbDailyTrib ,nan,nan,[]
hutchleader,nan,nan,[]
ifallsjournal,nan,nan,[]
jcpilot,nan,nan,[]
theji,nan,nan,[]
Litchfieldnews,nan,nan,[]
lpmnleader,nan,nan,[]
Mankatonews,nan,nan,[]
IndependentMN,nan,nan,[]
millelacstimes,nan,nan,[]
mspbjnews,nan,nan,[]
citypages,nan,nan,[]
thejournalmpls,nan,nan,[]
businessmn,nan,nan,[]
swjournal,nan,nan,[]
StarTribune,nan,nan,[]
MontevideoNews,nan,nan,[]
TheJournalMN,nan,nan,[]
postreview,nan,nan,[]
OwatonnaNews,nan,nan,[]
PREnterprise,nan,nan,[]
pp_independent,nan,nan,[]
PvillePress,nan,nan,[]
PineCityPioneer,nan,nan,[]
pipestonestar,nan,nan,[]
FillCoJournal,nan,nan,[]
UnionEagleNews,nan,nan,[]
PLAmerican,nan,nan,[]
republicaneagle,nan,nan,[]
PB_News,nan,nan,[]
sctimes,nan,nan,[]
pioneerpress,nan,nan,[]
SavagePacer,nan,nan,[]
shakopee,nan,nan,[]
SleepyEyeONLINE,nan,nan,[]
stillwgazette,nan,nan,[]
Hometownfocus,nan,nan,[]
MesabiDailyNews,nan,nan,[]
wadenapj,nan,nan,[]
pilot_walker,nan,nan,[]
WhiteBearPress,nan,nan,[]
wctrib,nan,nan,[]
WinonaDailyNews,nan,nan,[]
WinonaPost,nan,nan,[]
hjnews,nan,nan,[]
woodburymn,nan,nan,[]
dglobe,nan,nan,[]
accesspress,nan,nan,[]
ConcordianPaper,nan,nan,[]
gustavianweekly,nan,nan,[]
HamlineOracle,nan,nan,[]
themacweekly,nan,nan,[]
MSUREPORTER,nan,nan,[]
UniversityChron,nan,nan,[]
manitoumess,nan,nan,[]
mndailynews,nan,nan,[]
