user,sentiment,subjectivity,tweets
BruceJournal,nan,nan,[]
BethanyClipper,nan,nan,[]
bhfp,nan,nan,[]
BvilleDailyNews,nan,nan,[]
TheBGT,nan,nan,[]
bransontln,nan,nan,[]
LinnCoLeader,nan,nan,[]
buffaloreflex,nan,nan,[]
LakeNewsOnline,nan,nan,[]
semissourian,nan,nan,[]
carthagepress,nan,nan,[]
ctnews_mo,nan,nan,[]
columbiatribune,nan,nan,[]
CoMissourian,nan,nan,[]
dailystatesman,nan,nan,[]
ElDoradoSun,nan,nan,[]
EldonAdvertiser,nan,nan,[]
WestNewsmag,nan,nan,[]
ElsberryDem,nan,nan,[]
dailyjournalmo,nan,nan,[]
octimes,nan,nan,[]
CaldwellCountyN,nan,nan,[]
hannibalcourier,nan,nan,[]
TheHAC,nan,nan,[]
houstonherald,nan,nan,[]
EJC_Examiner,nan,nan,[]
NewsTribune,nan,nan,[]
JoplinGlobe,nan,nan,[]
KCBizjournal,nan,nan,[]
KCStar,nan,nan,[]
TheFastPitch,nan,nan,[]
ozarksentinel,nan,nan,[]
KVDailyExpress,nan,nan,[]
The_Lake_Today,nan,nan,[]
LDRnews,nan,nan,[]
TheLPJ,nan,nan,[]
marshallmonews,nan,nan,[]
MfieldMail,nan,nan,[]
TheDailyForum,nan,nan,[]
NodawayNews,nan,nan,[]
memdemnewspaper,nan,nan,[]
MexicoLedger,nan,nan,[]
MoberlyMINews,nan,nan,[]
MonettTimes,nan,nan,[]
LakeGazette,nan,nan,[]
neoshodailynews,nan,nan,[]
NewHavenLeader,nan,nan,[]
HeadlinerNews,nan,nan,[]
appealeditor,nan,nan,[]
dailyjournalmo,nan,nan,[]
ivanfoley,nan,nan,[]
leejstubbs,nan,nan,[]
raytowneagle,nan,nan,[]
republicmonitor,nan,nan,[]
richmondmonews,nan,nan,[]
RollaDailyNews,nan,nan,[]
SaintJosephTele,nan,nan,[]
newspressnow,nan,nan,[]
scanews,nan,nan,[]
RiverfrontTimes,nan,nan,[]
StLouisAmerican,nan,nan,[]
stlBizJournal,nan,nan,[]
stltoday,nan,nan,[]
stltoday,nan,nan,[]
SedaliaDemocrat,nan,nan,[]
sbjnet,nan,nan,[]
springfieldNL,nan,nan,[]
ThreeRiversPub,nan,nan,[]
sullivanjournal,nan,nan,[]
TiptonTimes,nan,nan,[]
lincolncounty,nan,nan,[]
AutogramSentine,nan,nan,[]
VandaliaLeader,nan,nan,[]
digitalBURG,nan,nan,[]
Emissourian,nan,nan,[]
DailyGuideNews,nan,nan,[]
wktimes,nan,nan,[]
columbiabiz,nan,nan,[]
Inside_Columbia,nan,nan,[]
417_magazine,nan,nan,[]
RHTrav,nan,nan,[]
DruryMirror,nan,nan,[]
lulegacy,nan,nan,[]
TheChartOnline ,nan,nan,[]
TheStandard_MSU,nan,nan,[]
TheMissourian,nan,nan,[]
SBUOmnibus,nan,nan,[]
TheUNews,nan,nan,[]
trumanindex,nan,nan,[]
TheManeater,nan,nan,[]
University0News,nan,nan,[]
studlife,nan,nan,[]
WebsterJournal,nan,nan,[]
