user,sentiment,subjectivity,tweets
monroe360,nan,nan,[]
Ccplaindealer,nan,nan,[]
thepanolian,nan,nan,[]
TheSeaCoastEcho,nan,nan,[]
sunherald,nan,nan,[]
dailyleader,nan,nan,[]
BolivarCom,nan,nan,[]
C_Courier,nan,nan,[]
ColProgress,nan,nan,[]
columbuspacket,nan,nan,[]
cdispatch,nan,nan,[]
DailyCorinthian,nan,nan,[]
websterprogress,nan,nan,[]
ddt_news,nan,nan,[]
gwcommonwealth,nan,nan,[]
hburgamerican,nan,nan,[]
copiahcourier,nan,nan,[]
clarionledger,nan,nan,[]
jxnfreepress,nan,nan,[]
mbjournal,nan,nan,[]
MississippiLink,nan,nan,[]
kshnews,nan,nan,[]
wcjournal,nan,nan,[]
meridianstar,nan,nan,[]
natchezdemocrat,nan,nan,[]
OxfordEagle,nan,nan,[]
gulflive,nan,nan,[]
pcgazebo,nan,nan,[]
NeshobaDemocrat,nan,nan,[]
mcjournal,nan,nan,[]
StarkvilleDaily,nan,nan,[]
thetunicatimes,nan,nan,[]
djournalnow,nan,nan,[]
TheVixPost,nan,nan,[]
MDWFPonline,nan,nan,[]
MShuntnfish,nan,nan,[]
reflectoronline,nan,nan,[]
thedm_news,nan,nan,[]
