user,sentiment,subjectivity,tweets
RCNewsherald,nan,nan,[]
stanlynewspress,nan,nan,[]
courier_tribune,nan,nan,[]
asheville,nan,nan,[]
mxnews,nan,nan,[]
hcpress,nan,nan,[]
WataugaDemocrat,nan,nan,[]
thetimesnews,nan,nan,[]
IslandGazette,nan,nan,[]
CarrboroCitizen,nan,nan,[]
CaryCitizen,nan,nan,[]
Cary_News,nan,nan,[]
ChapelHillNews1,nan,nan,[]
CBJnewsroom,nan,nan,[]
theobserver,nan,nan,[]
thecharpost,nan,nan,[]
cl_charlotte,nan,nan,[]
themecktimes,nan,nan,[]
QuePasaMedia,nan,nan,[]
QuePasaMedia,nan,nan,[]
claytonnewstar,nan,nan,[]
indytribune,nan,nan,[]
newsatnorman,nan,nan,[]
durhamskywriter,nan,nan,[]
TheHerald_Sun,nan,nan,[]
indyweek,nan,nan,[]
godanriver,nan,nan,[]
dailyadvance,nan,nan,[]
fayobserver,nan,nan,[]
FCDCourier,nan,nan,[]
MaconCountyNews,nan,nan,[]
gastongazette,nan,nan,[]
newsargus,nan,nan,[]
Doug_Copeland,nan,nan,[]
newsandrecord,nan,nan,[]
RhinoTimesGso,nan,nan,[]
yesweekly,nan,nan,[]
reflectornews,nan,nan,[]
postandvoice,nan,nan,[]
havenews,nan,nan,[]
Daily_Dispatch,nan,nan,[]
BlueRidgeNow,nan,nan,[]
hickoryrecord,nan,nan,[]
hpenterprise,nan,nan,[]
NewsofOrange,nan,nan,[]
HeraldWeekly,nan,nan,[]
jdnews,nan,nan,[]
indytribune,nan,nan,[]
thestrokesnews,nan,nan,[]
kinstonfp,nan,nan,[]
newstopic,nan,nan,[]
lexdispatch,nan,nan,[]
LincolnHerald20,nan,nan,[]
mcdowellnews,nan,nan,[]
EnquirerJournal,nan,nan,[]
mooresvilletrib,nan,nan,[]
newstimesonline,nan,nan,[]
MorgantonNews,nan,nan,[]
newbernsj_com,nan,nan,[]
GoWilkes,nan,nan,[]
NewRaleigh,nan,nan,[]
newsobserver,nan,nan,[]
QuePasaMedia,nan,nan,[]
raleightelegram,nan,nan,[]
TriangleBIZJrnl,nan,nan,[]
RockinghamNews,nan,nan,[]
rrdailyherald,nan,nan,[]
telegramreports,nan,nan,[]
roxborocourier,nan,nan,[]
salisburypost,nan,nan,[]
SanfordHerald,nan,nan,[]
brunswickbeacon,nan,nan,[]
shelbystar,nan,nan,[]
Chathamnews,nan,nan,[]
StatePortPilot,nan,nan,[]
statesville,nan,nan,[]
thesylvaherald,nan,nan,[]
tvilletimes,nan,nan,[]
tryonnews,nan,nan,[]
wakeweekly,nan,nan,[]
WarrenRecord,nan,nan,[]
wdnweb,nan,nan,[]
SmokyMtnNews,nan,nan,[]
JeffersonNCPost,nan,nan,[]
WhitevilleNews,nan,nan,[]
starnewsonline,nan,nan,[]
thewilsontimes,nan,nan,[]
ws_chronicle,nan,nan,[]
QuePasaMedia,nan,nan,[]
JournalNow,nan,nan,[]
luminanews,nan,nan,[]
EasternWakeNews,nan,nan,[]
WeLoveDowntown,nan,nan,[]
BeachCarolina,nan,nan,[]
TheATRegister,nan,nan,[]
TheAppalachian,nan,nan,[]
TheAppalachian,nan,nan,[]
The_Davidsonian,nan,nan,[]
DukeChronicle,nan,nan,[]
TEC_newspaper,nan,nan,[]
elonpendulum,nan,nan,[]
TheGuilfordian,nan,nan,[]
hilltopmhc,nan,nan,[]
campusecho,nan,nan,[]
ncsutechnician,nan,nan,[]
TheBlueBanner,nan,nan,[]
dailytarheel,nan,nan,[]
NinerOnline,nan,nan,[]
UNCP_PineNeedle,nan,nan,[]
TheSeahawk,nan,nan,[]
wfu_ogb,nan,nan,[]
WCUsNewspaper,nan,nan,[]
