user,sentiment,subjectivity,tweets
ATimesHerald,nan,nan,[]
NewsregisterANR,nan,nan,[]
beadailysunnews,nan,nan,[]
bellevueleader,nan,nan,[]
EnterprisePub,nan,nan,[]
Cus_Count_Chief,nan,nan,[]
CambClarion,nan,nan,[]
tricitytribune,nan,nan,[]
creighton_news,nan,nan,[]
FremontTribune,nan,nan,[]
theindependent,nan,nan,[]
hastingstribune,nan,nan,[]
KearneyHub,nan,nan,[]
ClipperHerald,nan,nan,[]
JournalStarNews,nan,nan,[]
mccookgazette2,nan,nan,[]
ncnewspress,nan,nan,[]
NelighNews,nan,nan,[]
norfolknews,nan,nan,[]
NPTelegraph,nan,nan,[]
TheReaderOmaha,nan,nan,[]
OWHnews,nan,nan,[]
sbstarherald,nan,nan,[]
SunTelegraph,nan,nan,[]
SSC_Star,nan,nan,[]
MWMessenger,nan,nan,[]
WaverlyNews,nan,nan,[]
wstptnews,nan,nan,[]
yorknewstimes,nan,nan,[]
cityoflincoln,nan,nan,[]
CUCreightonian,nan,nan,[]
doaneline,nan,nan,[]
DailyNeb,nan,nan,[]
