user,sentiment,subjectivity,tweets
ConMonitorNews,nan,nan,[]
FostersDailyDem,nan,nan,[]
HL_News,nan,nan,[]
sentinelsource,nan,nan,[]
LaconiaCitizen,nan,nan,[]
weirstimes,nan,nan,[]
LondonderryTime,nan,nan,[]
nutfieldnews,nan,nan,[]
unionleader,nan,nan,[]
TheCabinetPress,nan,nan,[]
nashuatelegraph,nan,nan,[]
conwaydailysun,nan,nan,[]
Pelham_WindhamN,nan,nan,[]
LedgerTrans,nan,nan,[]
seacoastonline,nan,nan,[]
Applaudwomen,nan,nan,[]
nhmagazine,nan,nan,[]
heartnewengland,nan,nan,[]
tweetnewengland,nan,nan,[]
yankeemagazine,nan,nan,[]
thedartmouth,nan,nan,[]
DartmouthReview,nan,nan,[]
ClockNewspaper,nan,nan,[]
thenewhampshire,nan,nan,[]
