user,sentiment,subjectivity,tweets
greatermedia,nan,nan,[]
Bville_News,nan,nan,[]
MyCentralJersey,nan,nan,[]
TheProgressNJ,nan,nan,[]
CGVObserver,nan,nan,[]
ChathamCourier,nan,nan,[]
cpsj,nan,nan,[]
ObserverTribune,nan,nan,[]
HunterdonReview,nan,nan,[]
theretrospect,nan,nan,[]
cranburypress,nan,nan,[]
the_citizennj,nan,nan,[]
mycentraljersey,nan,nan,[]
greatermedia,nan,nan,[]
greatermedia,nan,nan,[]
catamaranmedia,nan,nan,[]
greatermedia,nan,nan,[]
njdotcom,nan,nan,[]
FlorhamPEagle,nan,nan,[]
NowyDziennik,nan,nan,[]
northjerseybrk,nan,nan,[]
hanovereagle,nan,nan,[]
MessengerPress,nan,nan,[]
HillsBeacon,nan,nan,[]
HopewellValley,nan,nan,[]
HopewellValley,nan,nan,[]
greatermedia,nan,nan,[]
njdotcom,nan,nan,[]
LawrenceLedger,nan,nan,[]
greatermedia,nan,nan,[]
MadisonEagleNJ,nan,nan,[]
asburyparkpress,nan,nan,[]
coaststar,nan,nan,[]
manchestertimes,nan,nan,[]
central_jersey,nan,nan,[]
sbpost,nan,nan,[]
MontclairTimes,nan,nan,[]
MorrisNewsBee,nan,nan,[]
MtOliveChron,nan,nan,[]
AsburyParkPress,nan,nan,[]
NJBIZ,nan,nan,[]
starledger,nan,nan,[]
NJHerald,nan,nan,[]
greatermedia,nan,nan,[]
dailyrecord,0.070000000000000007,0.4425,"[u'VIDEO: Watch 3-day-old baby eagle chicks, recorded earlier today at Duke Farms http://t.co/2rMBAcRGlz   Courtesy @DukeFarmsFdn', u'RT @MIzzoDR: Madison High School students shown horrors of drunk driving with #Every15Minutes http://t.co/SNdLPPr2fg via @DailyRecord', u'RT @BobKarpDR: Deaf motorist says rights were violated in Boonton DWI arrest http://t.co/DnrzVlbSlw via @DailyRecord', u'RT @dailyrecordspts: Will @SkyBlueFC add more hometown pride? Lenape Valley/@RUSoccer midfielder Trish DiPaolo is in camp. http://t.co/6yPK\u2026']"
ACPressTopNews,0.059753787878787878,0.24535984848484846,"[u""Ocean County prosecutor's first year dominated by heroin epidemic: People started dying soon after Joseph Coro... http://t.co/mSPwGrqlUq"", u'Sea Isle City breaks ground on new City Hall: Mayor Len Desiderio and other elected officials held a ceremonia... http://t.co/fu7vmyewOS', u'Man found shot in back in Atlantic City: A man was found shot in the back near the corner of South Carolina an... http://t.co/XZKbF8LR2J', u""Group 'yarn bombs' Sister Jean's Kitchen to call attention to its financial plight: ATLANTIC CITY \u2014 The trees ... http://t.co/nloyfyYTWV""]"
