user,sentiment,subjectivity,tweets
AlbanyBizReview,0.125,0.125,"[u""Three years ago the company estimated the renovations would cost $6.5 million. It didn't. It cost more. Way more. \n http://t.co/KWVgv4Cxo2"", u'What do Krispy Kreme Doughnuts, Pizza Hut &amp; Burberry have to do with one another? \nFind out at this link \u2192 http://t.co/g70VapfUC4', u'For the #ACA / #Obamacare Act II is just getting started: http://t.co/8jwYacdeJ8', u'RT @AlbBizMikeD: $50 million minimum license fee for Capital Region #casino according to Request for Applications just posted online']"
spotnewsfeed,0.0625,0.45833333333333331,"[u'Voorheesville school budget talk draws concerned crowd: More than 100 people turned out to the Voorheesville s... http://t.co/3T5UKVsqpR', u'Music nourishes interfaith program: Since 2003, the First United Methodist Church of Delmar has hosted the Voi... http://t.co/GOQBViJwGT', u'Troy man pleads guilty to BAC of 0.27 percent: One drunk driver was intoxicated to the point that police were ... http://t.co/Pod39qihQ3', u'The stage is set: This weekend, prepare to take a journey with a mischievous cat, cheer for a take on America\u2019... http://t.co/9We9toaZML']"
timesunion,0.0,0.0,"[u'Troy council plans Scolite sale vote http://t.co/8udEzXV9VE', u'Petty larceny plea ends armed robbery case http://t.co/xEwbx8BS5o', u'GlobalFoundries tech charged with child porn http://t.co/dWv5UaJRsz', u'Jesse Sawyer to be arraigned in Fla. http://t.co/gagRKp54PX']"
recorder_news,0.0,0.0,"[u'B-P students present findings on compost study at L.I. competition http://t.co/dC6LegU4fD', u'Money coming for village water project http://t.co/7AH65GFidt', u""Mountaineers sign Amsterdam's Angelo http://t.co/pIYo5YA5hx"", u""Amsterdam's Izaiah Brown selected a finalist for prestigious Gatorade award http://t.co/uZMvIdNk3U""]"
The_Citizen,0.075000000000000011,0.125,"[u""Here's a look at Tuesday's print edition front page: http://t.co/eWFe9UhwOV"", u'ICYMI from Lake Life section: As founders complete terms, Cayuga Community Fund is poised for continued impact: http://t.co/pQTuTD5XwF', u'Beginning of the end for Jeter starts in Houston: http://t.co/qwt6FAoyTQ', u'Lawmaker wants NY to license, tax Internet poker: http://t.co/KZWxTx7TDA']"
steubencourier,0.0,0.0,"[u'Work continues on the Riverside, NY Tops Market \nhttps://t.co/UdsHw8wGtc', u'Priliminary autopsy results released for Bobbi Jo Hatter\nhttps://t.co/NfEBSDqYKg', u'Empire eyes $43M pipeline in Steuben County \nhttps://t.co/ofmP8kNKRD', u'Bath Haverling School presents Disney\'s ""Beauty and the Beast"" on Friday and Saturday\nhttps://t.co/2z1FCFKJ3H']"
queenscourier,0.15269886363636365,0.29545454545454541,"[u'Newly proposed federal legislation to focus funds on areas with increased pedestrian accidents http://t.co/puIClFj8AY @repjoecrowley', u'Suspect punches, steals phone from 15-year-old on Queens subway  http://t.co/y56DnjaXXH', u'De Blasio booed before throwing first pitch at #Mets\u2019 Opening Day http://t.co/NBq2d5u2hw', u'RT @Mets: New York Mayor @deBlasioNYC delivers a strike with his first pitch! #OpeningDay http://t.co/dGp65NxwOY']"
pressconnects,0.0625,0.0625,"[u'Local school districts stressed over state funding, again http://t.co/poIuOvK0q3', u'Binghamton University professor earns $450K grant to improve computer chips http://t.co/ihzredpgBC', u'RT @NWSBinghamton: Tuesday will be WARMER and mostly sunny with temps in mid 50s to around 60. Wed highs in the 50s http://t.co/5MlVwkJ3IZ', u'U.S. Sen. Kirsten Gillibrand pitches education bills\nhttp://t.co/DGAb83YO3Z']"
Artvoice,0.25,0.074999999999999997,"[u'What is next for the @BuffaloBills? http://t.co/SF2YJ6zF69', u'Film Review: Enemy may be the best Cronenberg movie in years: http://t.co/h0CPGtl01E Image: http://t.co/ycJREDhm5Q', u'""Aladdin"" on Broadway: http://t.co/dWBqoDuW0p', u'PHOTOS: Cut Copy 3/25 @TownBallroom http://t.co/jmEKjPs2jJ']"
bflobeast,-0.15625,0.25,"[u'BEAST eXclusive w/ skeptic/trigger warning @michaelshermer http://t.co/1iwdIp1CW7  brought to you by: BEASTpill http://t.co/LEBbIz9zhB', u'Interview with famed skeptic/trigger warning @michaelshermer: http://t.co/1iwdIp1CW7', u'RT @Ian_Murphy: So @mattrothschild from @theprogressive was arrested today for being a reporter: https://t.co/XyT4vSgY6G #WI #anonymous #fr\u2026', u""Fake Snowden trolls Internet: http://t.co/VGLirMejc0 | @RealAlexJones debunks solar conspiracy, @reason: Dog Bounty Hunter on Ed's trail!""]"
TheBuffaloNews,0.087499999999999994,0.16250000000000001,"[u'State grants Buffalo school administrators internship certificates. http://t.co/iwP9X5sr1Q', u'State Senate passes budget; Assembly continues to debate bills.', u'Man accused of punching television in domestic violence case http://t.co/KAiRS1nPdq', u'Kelly\u2019s chemotherapy treatment postponed a week, his brother tells The News. Read full story at  http://t.co/0YPiCdAeUN']"
BfloBizFirst,0.0,0.0,"[u""Billboard becomes #FBI's wanted poster http://t.co/Bd18TGzj39 @FBIMostWanted http://t.co/TXXkpDI1zK"", u'.@TonyRomas back for seconds in #NiagaraFalls http://t.co/LKZ1IGPhPQ', u'.@BfloBizDBertola covers #manufacturing &amp; #smallbiz, get to know Dave through #ThePlayLists http://t.co/3pVtggqmus http://t.co/tzZZJzMYm3', u'As drug use grows, so must treatment centers (page 29) http://t.co/RasqhRg6K7 #BBFreImagined http://t.co/wk1TgtR8Qq']"
philipstowninfo,0.034090909090909088,0.11363636363636363,"[u'Town Board Reviews Prospective Income-Generating Cellphone Tower  - http://t.co/DyCjOi3V7d', u'Troop 437 Boy Scouts Earn Railroading Merit Badge - http://t.co/tOWSGRrbqi', u'Haldane School Budget Difficulties Worsen - http://t.co/MSCiKfcxnn', u'Max Watman Releases New Book - http://t.co/5feSLwjP6z']"
PutnamCourier,0.024305555555555546,0.19861111111111113,"[u'The storm nailed Carmel with 1 FOOT of snow. County offices closed Wed. I84 closed. #putnam', u'I-84 is closed from Penn to CT as conditions worsen Wed. #putnam', u""Full coverage of former cty exec David Bruen's death and funeral arrangements at our main site, http://t.co/FsviMHV0Tv."", u'A tip of the hat to Radovich &amp; Dean Music of Carmel, a frequent collaborator during our debates. Stop by their business and say hi! #courier']"
ThePCNR,-0.059259259259259268,0.25648148148148148,"[u'61-39 final. The run for the lady Blue Devils is over.', u'Both teams clearing benches. Blue devils down 24 with one minute left', u'It just keeps getting worse for Haldane. Down by 27 with2:29 left.', u'Unless there is a miracle, there is one quarter left in the Blue Devils season.  Haldane trails 50-31.']"
