user,sentiment,subjectivity,tweets
TheAdaHerald,nan,nan,[]
ohiodotcom,nan,nan,[]
OhioLegalNews,nan,nan,[]
Akrondotcom,nan,nan,[]
alliancereview,nan,nan,[]
athensmessenger,nan,nan,[]
theathensnews,nan,nan,[]
AuroraAdvocate,nan,nan,[]
BarbertonHerald,nan,nan,[]
_beavercreeknc,nan,nan,[]
BftExaminer,nan,nan,[]
sentineltribune,nan,nan,[]
bryantimes,nan,nan,[]
bucyrustf,nan,nan,[]
dailyjeff,nan,nan,[]
cantonrepdotcom,nan,nan,[]
fpstandard,nan,nan,[]
ChilliGaz,nan,nan,[]
BusinessCourier,nan,nan,[]
call_post,nan,nan,[]
CityBeatCincy,nan,nan,[]
cincienquirer,nan,nan,[]
CinciHerald,nan,nan,[]
CirclevilleNews,nan,nan,[]
Cleveland_Scene,nan,nan,[]
CrainsCleveland,nan,nan,[]
NEO_MediaGroup,nan,nan,[]
newsheraldinoh,nan,nan,[]
plaindealer,nan,nan,[]
clydeenterprise,nan,nan,[]
columbusbiz1st,nan,nan,[]
ColumbusAlive,nan,nan,[]
dispatchalerts,nan,nan,[]
columbuspost,nan,nan,[]
thisweeknews,nan,nan,[]
coshtribune,nan,nan,[]
dbjnews,nan,nan,[]
daytondailynews,nan,nan,[]
crescentnews,nan,nan,[]
delphosherald,nan,nan,[]
TheReviewOnline,nan,nan,[]
theeatonrh,nan,nan,[]
YourChronicle,nan,nan,[]
Englewood_Ind,nan,nan,[]
TodaysPulse,nan,nan,[]
FindlayCourier,nan,nan,[]
fremontNM,nan,nan,[]
GalionNews,nan,nan,[]
thenewsdemocrat,nan,nan,[]
GranvilleSent,nan,nan,[]
advocate360,nan,nan,[]
journalnews,nan,nan,[]
lwaldledger,nan,nan,[]
TheTimesGazette,nan,nan,[]
hh_courier,nan,nan,[]
IrontonTribune,nan,nan,[]
jtimesjournal,nan,nan,[]
kentontimes,nan,nan,[]
eaglegazette,nan,nan,[]
TodaysPulse,nan,nan,[]
limanews,nan,nan,[]
Morning_Journal,nan,nan,[]
logandaily,nan,nan,[]
TheMadisonPress,nan,nan,[]
MorningJournal,nan,nan,[]
MansfieldNJ,nan,nan,[]
MariettaTimes,nan,nan,[]
TheMarionStar,nan,nan,[]
TheTimesLeader,nan,nan,[]
TodaysPulse,nan,nan,[]
mchnews,nan,nan,[]
medinagazette,nan,nan,[]
middjournal,nan,nan,[]
pressnewspapers,nan,nan,[]
mountvernonnews,nan,nan,[]
nwseditor,nan,nan,[]
NewarkAdvocate,nan,nan,[]
nreflector,nan,nan,[]
PutnamSentinel,nan,nan,[]
oxfordpress,nan,nan,[]
PataskalaStand,nan,nan,[]
pauldingpaper,nan,nan,[]
ThisWeekNews,nan,nan,[]
piquadailycall,nan,nan,[]
pcnewsherald,nan,nan,[]
recordpub,nan,nan,[]
smeveningleader,nan,nan,[]
SalemNewsOH,nan,nan,[]
MorningJournal,nan,nan,[]
sanduskyregistr,nan,nan,[]
sidneydailynews,nan,nan,[]
SpringboroSun,nan,nan,[]
springfieldnews,nan,nan,[]
HeraldStar,nan,nan,[]
recordpub,nan,nan,[]
stowsentry,nan,nan,[]
hometownjournal,nan,nan,[]
Village_Report,nan,nan,[]
AdvertiserTrib,nan,nan,[]
tippnews,nan,nan,[]
LaPrensa1,nan,nan,[]
toledonews,nan,nan,[]
TCPaper,nan,nan,[]
ToledoFreePress,nan,nan,[]
DailyChiefUnion,nan,nan,[]
UrbanaCitizen,nan,nan,[]
ivanwert,nan,nan,[]
VandaliaDrummer,nan,nan,[]
WapakDailyNews,nan,nan,[]
TribToday,nan,nan,[]
recordherald,nan,nan,[]
newswatchman,nan,nan,[]
Village_Report,nan,nan,[]
WestLifePaper,nan,nan,[]
newsheraldinoh,nan,nan,[]
wnewsj,nan,nan,[]
thedailyrecord,nan,nan,[]
xeniagazette,nan,nan,[]
ysnews,nan,nan,[]
thebizjournal,nan,nan,[]
metromonthly,nan,nan,[]
vindicator,nan,nan,[]
TimesRecorder,nan,nan,[]
akronlifemag,nan,nan,[]
AboutStark,nan,nan,[]
CincinnatiMag,nan,nan,[]
CincyMagazine,nan,nan,[]
CBCmagazine,nan,nan,[]
clevelandmag,nan,nan,[]
columbusmonthly,nan,nan,[]
ColumbusParent,nan,nan,[]
ibmagazine,nan,nan,[]
DiscoverOhio,nan,nan,[]
Smart_Business,nan,nan,[]
SEOhioMagazine,nan,nan,[]
wbwhfm,nan,nan,[]
The_BG_News,nan,nan,[]
TheChimesNews,nan,nan,[]
cwruobserver,nan,nan,[]
clevelandstater,nan,nan,[]
TheWoosterVoice,nan,nan,[]
kentwired,nan,nan,[]
miamistudent,nan,nan,[]
oberlinreview,nan,nan,[]
TheLantern,nan,nan,[]
ThePost,nan,nan,[]
buchtelite,nan,nan,[]
NewsRecord_UC,nan,nan,[]
FlyerNews,nan,nan,[]
TheICToledo,nan,nan,[]
wsuguardian,nan,nan,[]
xaviernewswire,nan,nan,[]
thejambar,nan,nan,[]
