user,sentiment,subjectivity,tweets
theadanews,nan,nan,[]
TheAltusTimes,nan,nan,[]
AlvaReviewCouri,nan,nan,[]
Ardmoreite,nan,nan,[]
bartlesvilleEE,nan,nan,[]
bixbybulletin,nan,nan,[]
BALedger,nan,nan,[]
expressstarnews,nan,nan,[]
WillRogersPaper,nan,nan,[]
cordellbeacon,nan,nan,[]
CowetaAmerican,nan,nan,[]
DuncanBanner,nan,nan,[]
edmondsun,nan,nan,[]
ERTribune,nan,nan,[]
ElkCityNews,nan,nan,[]
ECDailyNews,nan,nan,[]
enidnews,nan,nan,[]
grovesun,nan,nan,[]
guymondaily,nan,nan,[]
hugonews,nan,nan,[]
kingfishertimes,nan,nan,[]
LawtonConst,nan,nan,[]
McAlesterNews,nan,nan,[]
miaminewsrecord,nan,nan,[]
muskogeephoenix,nan,nan,[]
newkirkherald,nan,nan,[]
normannews,nan,nan,[]
JournalRecord,nan,nan,[]
okconstitution,nan,nan,[]
NewsOK,nan,nan,[]
PurcellRegister,nan,nan,[]
ssleader,nan,nan,[]
shawneenewsstar,nan,nan,[]
StwNewsPress,nan,nan,[]
gtrnews,nan,nan,[]
tulsaworld,nan,nan,[]
urbantulsa,nan,nan,[]
WagonerTribune,nan,nan,[]
woodwardnews,nan,nan,[]
oklahomacitycom,nan,nan,[]
NewsOK,nan,nan,[]
OklahomaToday,nan,nan,[]
tnenews,nan,nan,[]
ocolly,nan,nan,[]
OUDaily,nan,nan,[]
