user,sentiment,subjectivity,tweets
dhnews,nan,nan,[]
dailytidings,nan,nan,[]
dailyastorian,nan,nan,[]
bakercityherald,nan,nan,[]
valleytimes,nan,nan,[]
thebulletin,nan,nan,[]
cascadebusnews,nan,nan,[]
sourceweekly,nan,nan,[]
currypilot,nan,nan,[]
CanbyHerald,nan,nan,[]
thecbgazette,nan,nan,[]
TheWorldLink,nan,nan,[]
gtnews,nan,nan,[]
CGSentinel,nan,nan,[]
wcchieftain,nan,nan,[]
eugeneweekly,nan,nan,[]
registerguard,nan,nan,[]
DailyCourier,nan,nan,[]
gresham_outlook,nan,nan,[]
HermistonHerald,nan,nan,[]
hillsboroargus,nan,nan,[]
HoodRiverNews,nan,nan,[]
myeaglenews,nan,nan,[]
Keizertimes,nan,nan,[]
HandN_news,nan,nan,[]
lagrandenews,nan,nan,[]
WestLinnTidings,nan,nan,[]
lakecoexaminer,nan,nan,[]
LebanonExpress,nan,nan,[]
TheNewsGuard,nan,nan,[]
nccitizen,nan,nan,[]
rivref,nan,nan,[]
newsregister,nan,nan,[]
mailtribune,nan,nan,[]
molallapioneer,nan,nan,[]
argusobserver,nan,nan,[]
EastOregonian,nan,nan,[]
pdxbizjournal,nan,nan,[]
MidcountyMemo,nan,nan,[]
oregonian,nan,nan,[]
pdxobserver,nan,nan,[]
ThePortlandTrib,nan,nan,[]
TheSkannerNews,nan,nan,[]
wweek,nan,nan,[]
RogueRiverPress,nan,nan,[]
nrtoday,nan,nan,[]
SHChronicle,nan,nan,[]
capitalpress,nan,nan,[]
oregonnews,nan,nan,[]
Salem_Statesman,nan,nan,[]
SeasideSignal,nan,nan,[]
Nuggetnewspaper,nan,nan,[]
StaytonMail,nan,nan,[]
tdchronicle,nan,nan,[]
headlightherald,nan,nan,[]
wspokesman,nan,nan,[]
ORbike,nan,nan,[]
oregonbusiness,nan,nan,[]
oregoncitylink,nan,nan,[]
traveloregon,nan,nan,[]
ThePioneerLog,nan,nan,[]
linfieldreview,nan,nan,[]
LBCommuter,nan,nan,[]
mhccadvocate,nan,nan,[]
baronews,nan,nan,[]
psuvanguard,nan,nan,[]
roguebyline,nan,nan,[]
DailyEmerald,nan,nan,[]
WUCollegian,nan,nan,[]
