user,sentiment,subjectivity,tweets
mcall,nan,nan,[]
AltoonamirrorPA,nan,nan,[]
MLmedianews,nan,nan,[]
bctimes,nan,nan,[]
pressenterpa,nan,nan,[]
bradfordera,nan,nan,[]
ButlerEagle,nan,nan,[]
cumberlink,nan,nan,[]
tribtotalmedia,nan,nan,[]
ponews,nan,nan,[]
exploreclarion,nan,nan,[]
AbingtonJournal,nan,nan,[]
gantdaily,nan,nan,[]
tribtotalmedia,nan,nan,[]
TLNews,nan,nan,[]
TheIntellNews,nan,nan,[]
PBJonline,nan,nan,[]
progressnews,nan,nan,[]
goerie,nan,nan,[]
TribTotalMedia,nan,nan,[]
MontgomeryMedia,nan,nan,[]
Gburg_Times,nan,nan,[]
EchoPilot,nan,nan,[]
tribtotalmedia,nan,nan,[]
theeveningsun,nan,nan,[]
lehighvalley,nan,nan,[]
pennlive,nan,nan,[]
delcotimes,nan,nan,[]
standardspeaker,nan,nan,[]
WayneIndepCirc,nan,nan,[]
thesunontheweb,nan,nan,[]
indianagazette,nan,nan,[]
tribunedemocrat,nan,nan,[]
tribtotalmedia,nan,nan,[]
lancasteronline,nan,nan,[]
lansreporter,nan,nan,[]
laurelmtnpost,nan,nan,[]
ldnews,nan,nan,[]
CourierTimes,nan,nan,[]
TheSentinelPA,nan,nan,[]
TheExpressPA,nan,nan,[]
TribLIVE,nan,nan,[]
Meadville_Trib,nan,nan,[]
tribtotalmedia,nan,nan,[]
pennlive,nan,nan,[]
newcastlenews,nan,nan,[]
TimesHeraldPA,nan,nan,[]
PHLBizJournal,nan,nan,[]
citypaper,nan,nan,[]
metroweekly,nan,nan,[]
PhillyDailyNews,nan,nan,[]
phillyinquirer,nan,nan,[]
phillyweekly,nan,nan,[]
phxvillenews,nan,nan,[]
NewPghCourier,nan,nan,[]
pghbiztimes,nan,nan,[]
PGHCityPaper,nan,nan,[]
pittsburghpg,nan,nan,[]
TribLive  ,nan,nan,[]
YourPlum,nan,nan,[]
MercuryX,nan,nan,[]
repherald,nan,nan,[]
delcotimes,nan,nan,[]
readingeagle,nan,nan,[]
Morning_Times,nan,nan,[]
timestribune,nan,nan,[]
thenewsitem,nan,nan,[]
sharonheraldpa,nan,nan,[]
dailyamerican,nan,nan,[]
YourSouthHills,nan,nan,[]
centredailycom,nan,nan,[]
poconorecord,nan,nan,[]
dailyitem,nan,nan,[]
ValleyNewsDisp,nan,nan,[]
hsuniontown,nan,nan,[]
oronline,nan,nan,[]
MLMediaNews,nan,nan,[]
therecordherald,nan,nan,[]
tiogapagazette,nan,nan,[]
wcdailylocal,nan,nan,[]
citizensvoice,nan,nan,[]
TLnews,nan,nan,[]
wkdr,nan,nan,[]
wmsptsungazette,nan,nan,[]
ydrcom,nan,nan,[]
yorkdispatch,nan,nan,[]
HarrisburgMag,nan,nan,[]
phillymag,nan,nan,[]
ThisWeekPoconos,nan,nan,[]
BUvoice,nan,nan,[]
loqwitter,nan,nan,[]
CalTimes,nan,nan,[]
clarioncallnews,nan,nan,[]
TheDickinsonian,nan,nan,[]
TheTriangle,nan,nan,[]
theduquesneduke,nan,nan,[]
ThePennIUP,nan,nan,[]
TheLafayette,nan,nan,[]
lehighvalley,nan,nan,[]
lhueagleeye,nan,nan,[]
TheSnapperMU,nan,nan,[]
BergWeekly,nan,nan,[]
dailycollegian,nan,nan,[]
SRURocket,nan,nan,[]
swatphoenix,nan,nan,[]
swatgazette,nan,nan,[]
thetemplenews,nan,nan,[]
dailypenn,nan,nan,[]
ThePittNews,nan,nan,[]
wilkesbeacon,nan,nan,[]
