user,sentiment,subjectivity,tweets
TheValleyBreeze,nan,nan,[]
TheNewportDaily,nan,nan,[]
TheTimesofPawt,nan,nan,[]
SakonnetTimes,nan,nan,[]
provbusnews,nan,nan,[]
projo,nan,nan,[]
provphoenix,nan,nan,[]
eastbayri,nan,nan,[]
thewesterlysun,nan,nan,[]
WoonsocketCall,nan,nan,[]
PVDMonthly,nan,nan,[]
RIMonthly,nan,nan,[]
tweetnewengland,nan,nan,[]
the_herald,nan,nan,[]
brownspectator,nan,nan,[]
thecowl,nan,nan,[]
TheAnchor_RIC,nan,nan,[]
Good5CentCigar,nan,nan,[]
