user,sentiment,subjectivity,tweets
aikenstandard,nan,nan,[]
independentmail,nan,nan,[]
People_Sentinel,nan,nan,[]
beaufortgazette,nan,nan,[]
Herald_Advocate,nan,nan,[]
blufftontoday,nan,nan,[]
chascitypaper,nan,nan,[]
lowcountrytoday,nan,nan,[]
postandcourier,nan,nan,[]
CRBJ,nan,nan,[]
TheDigitel,nan,nan,[]
TheColumbiaStar,nan,nan,[]
freetimessc,nan,nan,[]
thestate,nan,nan,[]
EdgeAdvertiser,nan,nan,[]
voiceofpeedee,nan,nan,[]
fortmilltimes,nan,nan,[]
gaffneyledger,nan,nan,[]
georgetowntimes,nan,nan,[]
greenvillenews,nan,nan,[]
GSAbusiness,nan,nan,[]
ijeditor,nan,nan,[]
greercitizen,nan,nan,[]
HartsMessenger,nan,nan,[]
islandpacket,nan,nan,[]
KingstreeNews,nan,nan,[]
LakeWyliePilot,nan,nan,[]
lancasteronline,nan,nan,[]
GoLaurens,nan,nan,[]
LexChron,nan,nan,[]
citizen_online,nan,nan,[]
TheSunNews,nan,nan,[]
thetandd,nan,nan,[]
RHHerald,nan,nan,[]
greenvillenews,nan,nan,[]
goupstate,nan,nan,[]
theitem,nan,nan,[]
WilliamstonJour,nan,nan,[]
BlythewoodVoice,nan,nan,[]
thecollegianbju,nan,nan,[]
CisternYard,nan,nan,[]
thegamecock,nan,nan,[]
TheJohnsonian,nan,nan,[]
