user,sentiment,subjectivity,tweets
reporternews,nan,nan,[]
thealbanynews,nan,nan,[]
EchoNewsJournal,nan,nan,[]
starlocalmedia,nan,nan,[]
Rockslides,nan,nan,[]
amarilloglobe,nan,nan,[]
AP_Progress,nan,nan,[]
statesman,nan,nan,[]
MyABJ,nan,nan,[]
AustinChronicle,nan,nan,[]
laketravisview,nan,nan,[]
texastribune,nan,nan,[]
TheVillagerATX,nan,nan,[]
BanderaBulletin,nan,nan,[]
BastropNews,nan,nan,[]
baycitytribune,nan,nan,[]
TheBaytownSun,nan,nan,[]
bmtenterprise,nan,nan,[]
mysoutex,nan,nan,[]
bigspringherald,nan,nan,[]
blanconews,nan,nan,[]
TheBoerneStar,nan,nan,[]
bowienews,nan,nan,[]
TheRecordLive,nan,nan,[]
brownsvillenews,nan,nan,[]
bwdbulletin,nan,nan,[]
theeagle,nan,nan,[]
BullardBanner,nan,nan,[]
TheCamHerald,nan,nan,[]
TheCanyonNews,nan,nan,[]
csjavelin,nan,nan,[]
HillCountryNws,nan,nan,[]
CPLStatesman,nan,nan,[]
CBStatesman,nan,nan,[]
ctrnews,nan,nan,[]
MyClevelandNews,nan,nan,[]
colemannews,nan,nan,[]
callerdotcom,nan,nan,[]
TheDailySun,nan,nan,[]
DBJEvents,nan,nan,[]
dallasnews_com,nan,nan,[]
Dallas_Observer,nan,nan,[]
DallasSouthNews,nan,nan,[]
EHNDallas,nan,nan,[]
pcpeople,nan,nan,[]
phollowpeople,nan,nan,[]
WCMessenger,nan,nan,[]
DRNewsHerald,nan,nan,[]
dentonrc,nan,nan,[]
mcnewspress,nan,nan,[]
ecleadernews,nan,nan,[]
elpasotimes,nan,nan,[]
eldoradosuccess,nan,nan,[]
ElginCourier,nan,nan,[]
EDN1891,nan,nan,[]
FreestnCoTimes,nan,nan,[]
farmersville,nan,nan,[]
ECPress,nan,nan,[]
wcnonline,nan,nan,[]
fwbusinesspress,nan,nan,[]
startelegram,nan,nan,[]
FortWorthWeekly,nan,nan,[]
fbgstandard,nan,nan,[]
FriendswoodNews,nan,nan,[]
friscoupdates,nan,nan,[]
RealFrisco,nan,nan,[]
galvestonnews,nan,nan,[]
thepolicenews,nan,nan,[]
GV_Messenger,nan,nan,[]
TheGilmerMirror,nan,nan,[]
GonInquirer,nan,nan,[]
lakecountrysun,nan,nan,[]
grahamleader,nan,nan,[]
HoodCountyNews,nan,nan,[]
heraldbanner,nan,nan,[]
valleystar,nan,nan,[]
theHDN,nan,nan,[]
forwardtimes,nan,nan,[]
free_press,nan,nan,[]
HOUBizjournal,nan,nan,[]
HoustonChron,nan,nan,[]
hcnonline,nan,nan,[]
HoustonPress,nan,nan,[]
RUMBOnet,nan,nan,[]
HuntsvilleItem,nan,nan,[]
huttonews,nan,nan,[]
italyneotribune,nan,nan,[]
jacksboro_news,nan,nan,[]
jdprogress,nan,nan,[]
jcrecord,nan,nan,[]
mysoutex,nan,nan,[]
kaufmanherald,nan,nan,[]
kerrville,nan,nan,[]
kilgorenews,nan,nan,[]
kdhnews,nan,nan,[]
haysfreepress,nan,nan,[]
lmtnews,nan,nan,[]
HCHerald,nan,nan,[]
TheLeakeyStar,nan,nan,[]
CPLStatesman,nan,nan,[]
littleelmjourn,nan,nan,[]
llanonews,nan,nan,[]
LktPostRegister,nan,nan,[]
newsjournal,nan,nan,[]
lubbockonline,nan,nan,[]
lufkindailynews,nan,nan,[]
HardinCo_News,nan,nan,[]
Highlander_News,nan,nan,[]
bigbendnow,nan,nan,[]
MarlinDemocrat,nan,nan,[]
News_Messenger,nan,nan,[]
masonnews,nan,nan,[]
monitornews,nan,nan,[]
CourierGazette,nan,nan,[]
ionmesquite,nan,nan,[]
mwtnews,nan,nan,[]
mwindex,nan,nan,[]
