user,sentiment,subjectivity,tweets
DavisClipper,nan,nan,[]
ecprogress,nan,nan,[]
CHJgoings,nan,nan,[]
DJgoings,nan,nan,[]
WasatchWave,nan,nan,[]
hjnews,nan,nan,[]
MVJgoings,nan,nan,[]
MCJgoings,nan,nan,[]
MoabTimes,nan,nan,[]
MJgoings,nan,nan,[]
standardex,nan,nan,[]
parkrecord,nan,nan,[]
sunad,nan,nan,[]
heraldextra,nan,nan,[]
UB_Standard,nan,nan,[]
suindependent,nan,nan,[]
spectrumnews,nan,nan,[]
deseretnews,nan,nan,[]
qsaltlake,nan,nan,[]
cityweekly,nan,nan,[]
sltrib,nan,nan,[]
SJGoings,nan,nan,[]
SVJGoings,nan,nan,[]
serve_daily,nan,nan,[]
TKJGoings,nan,nan,[]
TooeleTB,nan,nan,[]
WJJGoings,nan,nan,[]
WVJgoings,nan,nan,[]
SpectrumNews,nan,nan,[]
UniverseBYU,nan,nan,[]
suunews,nan,nan,[]
thechrony,nan,nan,[]
UtahStatesman,nan,nan,[]
UVUreview,nan,nan,[]
WSUSignpost,nan,nan,[]
