user,sentiment,subjectivity,tweets
AlexGazette,nan,nan,[]
AlexTimesNews,nan,nan,[]
thezebrapress,nan,nan,[]
arlconnection,nan,nan,[]
BedfordBullNH,nan,nan,[]
coalfield,nan,nan,[]
SwVirginia_News,nan,nan,[]
tricities_com,nan,nan,[]
burkeconnection,nan,nan,[]
CentreView,nan,nan,[]
DailyProgress,nan,nan,[]
chincobeacon,nan,nan,[]
DickensonStar,nan,nan,[]
tidewaternews,nan,nan,[]
CrozetGazette,nan,nan,[]
godanriver,nan,nan,[]
ffxconnection,nan,nan,[]
FCNP_Nicholas,nan,nan,[]
Las_Americas_DC,nan,nan,[]
tidewaternews,nan,nan,[]
GalaxNews,nan,nan,[]
thecv,nan,nan,[]
daily_press,nan,nan,[]
pilotnews,nan,nan,[]
heraldprogress,nan,nan,[]
DNRnews,nan,nan,[]
herndonconnect,nan,nan,[]
carrollnews,nan,nan,[]
NewsPatriot,nan,nan,[]
TidewaterNews,nan,nan,[]
raprecord,nan,nan,[]
leesburgtoday,nan,nan,[]
LTMNews,nan,nan,[]
thecv,nan,nan,[]
newsadvance,nan,nan,[]
INSIDENOVA,nan,nan,[]
SwVirginia_News,nan,nan,[]
McLeanConnect,nan,nan,[]
usatoday,nan,nan,[]
mtvernongazette,nan,nan,[]
H_R_Messenger,nan,nan,[]
insidebusiness,nan,nan,[]
pilotnews,nan,nan,[]
coalfield,nan,nan,[]
fluvannareview,nan,nan,[]
progressindex,nan,nan,[]
PotomacAlmanac,nan,nan,[]
SouthwestTimes,nan,nan,[]
fairfaxtimes,nan,nan,[]
restonconnect,nan,nan,[]
rtdnews,nan,nan,[]
richmonddotcom,nan,nan,[]
styleweekly,nan,nan,[]
roanoketimes,nan,nan,[]
SmithfieldTimes,nan,nan,[]
sobogazette,nan,nan,[]
sobNR,nan,nan,[]
SouthHillEnterp,nan,nan,[]
airforcetimes,nan,nan,[]
armytimes,nan,nan,[]
marinetimes,nan,nan,[]
navytimes,nan,nan,[]
sprconnect,nan,nan,[]
NewsLeaderNOW,nan,nan,[]
nvdaily,nan,nan,[]
suffolknews,nan,nan,[]
TheESNews,nan,nan,[]
ssentinel,nan,nan,[]
viennaconnect,nan,nan,[]
FauquierDotCom,nan,nan,[]
rappnews,nan,nan,[]
AFPChrisGraham,nan,nan,[]
newsvirginian,nan,nan,[]
vagazette,nan,nan,[]
WinStarVa,nan,nan,[]
INSIDENOVA,nan,nan,[]
SwVirginia_News,nan,nan,[]
LocalKicks,nan,nan,[]
laughspincom,nan,nan,[]
brcmagazine,nan,nan,[]
roanoker,nan,nan,[]
Healthjournals,nan,nan,[]
MasonBroadside,nan,nan,[]
thebreezejmu,nan,nan,[]
LUChampionNews,nan,nan,[]
longwoodrotunda,nan,nan,[]
maceandcrown,nan,nan,[]
RUTartan,nan,nan,[]
URCollegian,nan,nan,[]
cavalierdaily,nan,nan,[]
theCT,nan,nan,[]
CollegiateTimes,nan,nan,[]
TheFlatHat,nan,nan,[]
