user,sentiment,subjectivity,tweets
TimesArgus,nan,nan,[]
banner_news,nan,nan,[]
journalopinion,nan,nan,[]
brattreformer,nan,nan,[]
bfp_news,nan,nan,[]
seven_days,nan,nan,[]
ManJourn,nan,nan,[]
addyindy,nan,nan,[]
newsandcitizen,nan,nan,[]
rutlandherald,nan,nan,[]
samessenger,nan,nan,[]
calrecord,nan,nan,[]
Shelburne_News,nan,nan,[]
VTWomanNews,nan,nan,[]
StoweToday,nan,nan,[]
valleyreporter,nan,nan,[]
vermont_fyi,nan,nan,[]
NorthWoodlands,nan,nan,[]
middcampus,nan,nan,[]
