user,sentiment,subjectivity,tweets
GHDailyWorld,nan,nan,[]
goskagit,nan,nan,[]
globetimesedit,nan,nan,[]
BIConversation,nan,nan,[]
BIReview,nan,nan,[]
ballardnewstrib,nan,nan,[]
BellevueNews,nan,nan,[]
bhamherald,nan,nan,[]
kitsapsun,nan,nan,[]
cwprsports,nan,nan,[]
chronline,nan,nan,[]
SENewsteam,nan,nan,[]
WhidbeyExaminer,nan,nan,[]
pnwlocalnews,nan,nan,[]
edmondsbeacon,nan,nan,[]
EllensburgDR,nan,nan,[]
Enumclaw_CH,nan,nan,[]
everettherald,nan,nan,[]
everettherald,nan,nan,[]
fwmirror,nan,nan,[]
SanJuanJournal,nan,nan,[]
pengateway,nan,nan,[]
issaquahpress,nan,nan,[]
tricityherald,nan,nan,[]
WhidbeyRecord,nan,nan,[]
leavenworthecho,nan,nan,[]
LLSplash,nan,nan,[]
chinookobserver,nan,nan,[]
the_daily_news,nan,nan,[]
lyndentribune,nan,nan,[]
globereporter1,nan,nan,[]
mireporter,nan,nan,[]
MonroeMonitor,nan,nan,[]
SRValley,nan,nan,[]
The_CBH,nan,nan,[]
goskagit,nan,nan,[]
mukilteobeacon,nan,nan,[]
MinerNews,nan,nan,[]
whidbeynews,nan,nan,[]
theolympian,nan,nan,[]
OmakChronicle,nan,nan,[]
GazetteTribune,nan,nan,[]
othellooutlook,nan,nan,[]
tricityherald,nan,nan,[]
pendailynews,nan,nan,[]
poinews,nan,nan,[]
ptleader,nan,nan,[]
nkherald,nan,nan,[]
mpdailynews,nan,nan,[]
PuyallupNews,nan,nan,[]
rentonreporter,nan,nan,[]
Cap_Hill_Times,nan,nan,[]
SeattleDJC,nan,nan,[]
MadisonParkTime,nan,nan,[]
nwasianweekly,nan,nan,[]
PSBJ,nan,nan,[]
QueenAnneNews,nan,nan,[]
seattlepi,nan,nan,[]
seattletimes,nan,nan,[]
seattleweekly,nan,nan,[]
strangerpromo,nan,nan,[]
westseattleher,nan,nan,[]
sequimgazette,nan,nan,[]
reporterpatriot,nan,nan,[]
valleyrecord,nan,nan,[]
spokesmanreview,nan,nan,[]
StanCamNEWS,nan,nan,[]
thenewstribune,nan,nan,[]
TacomaIndex,nan,nan,[]
tacomaweekly,nan,nan,[]
be_daily,nan,nan,[]
MethowNews ,nan,nan,[]
thecolumbian,nan,nan,[]
keypennews,nan,nan,[]
ubnews,nan,nan,[]
wenatcheeworld,nan,nan,[]
WdvlWeekly,nan,nan,[]
Yakima_Herald,nan,nan,[]
nisqvalleynews,nan,nan,[]
danyoura,nan,nan,[]
CWUObserver,nan,nan,[]
easterneronline,nan,nan,[]
plumast,nan,nan,[]
SU_Spectator,nan,nan,[]
thedaily,nan,nan,[]
uwtledger,nan,nan,[]
DailyEvergreen,nan,nan,[]
thefrontonline,nan,nan,[]
whitmanpio,nan,nan,[]
TheWhitworthian,nan,nan,[]
