user,sentiment,subjectivity,tweets
postcrescent,nan,nan,[]
SceneNewspaper,nan,nan,[]
AshlandDailyPre,nan,nan,[]
News_Republic,nan,nan,[]
BDCitizen,nan,nan,[]
BDNConnection,nan,nan,[]
chippewaherald,nan,nan,[]
leadertelegram,nan,nan,[]
piercecounty,nan,nan,[]
fdlreporter,nan,nan,[]
DUNews,nan,nan,[]
gbpressgazette,nan,nan,[]
SawyerCoRecord,nan,nan,[]
hudsonwi,nan,nan,[]
gazettextra,nan,nan,[]
kenoshanews,nan,nan,[]
lacrossetribune,nan,nan,[]
ladysmithnews,nan,nan,[]
LGOnline,nan,nan,[]
captimes,nan,nan,[]
isthmustdp,nan,nan,[]
theonion,nan,nan,[]
wistatejournal,nan,nan,[]
htrnews,nan,nan,[]
mnherald,nan,nan,[]
DunnCountyNews,nan,nan,[]
bizjournalmke,nan,nan,[]
JournalSentinel,nan,nan,[]
shepherdexpress,nan,nan,[]
biztimesmedia,nan,nan,[]
thelakelandtime,nan,nan,[]
MonroeTimes,nan,nan,[]
newrichmondnews,nan,nan,[]
LaCrosseTribune,nan,nan,[]
OregonObserver1,nan,nan,[]
onwnews,nan,nan,[]
PriceCountyDail,nan,nan,[]
ozaukeepress,nan,nan,[]
PDRnews,nan,nan,[]
journaltimes,nan,nan,[]
NWoodsRiverNews,nan,nan,[]
RLnewspaper,nan,nan,[]
riverfallsj,nan,nan,[]
thespeagle,nan,nan,[]
ShawanoLeader,nan,nan,[]
SheboyganPress,nan,nan,[]
SpoonerAdvocate,nan,nan,[]
stevenspointJrl,nan,nan,[]
dcadvocatenews,nan,nan,[]
wdtnews,nan,nan,[]
WaukeshaFreeman,nan,nan,[]
WaunakeeTribune,nan,nan,[]
wausauherald,nan,nan,[]
DellsEvents,nan,nan,[]
wrtribune,nan,nan,[]
milwaukeemag,nan,nan,[]
biztimesmedia,nan,nan,[]
thedigitalnp,nan,nan,[]
TheLawrentian,nan,nan,[]
mutribune,nan,nan,[]
spectatornews,nan,nan,[]
4eUWGB,nan,nan,[]
theracquet,nan,nan,[]
BadgerHerald,nan,nan,[]
dailycardinal,nan,nan,[]
theuwmpost,nan,nan,[]
atitan,nan,nan,[]
UWPexponent,nan,nan,[]
uwrfvoice,nan,nan,[]
uwsp_pointer,nan,nan,[]
stoutonia,nan,nan,[]
RoyalPurpleNews,nan,nan,[]
