user,sentiment,subjectivity,tweets
Register_Herald,nan,nan,[]
bdtonline,nan,nan,[]
SpiritofJeff,nan,nan,[]
charleywest,nan,nan,[]
wvgazette,nan,nan,[]
wvstatejournal,nan,nan,[]
WVTelegram,nan,nan,[]
InterMountainWV,nan,nan,[]
heralddispatch,nan,nan,[]
pocahontastimes,nan,nan,[]
TheJournalWV,nan,nan,[]
moorefieldex,nan,nan,[]
DominionPostWV,nan,nan,[]
NewsandSentinel,nan,nan,[]
GrantCoPress,nan,nan,[]
HampshireReview,nan,nan,[]
WeirtonDlyTimes,nan,nan,[]
IntelligencerWV,nan,nan,[]
FluentMagazine,nan,nan,[]
GrafWV,nan,nan,[]
2LaneTweet,nan,nan,[]
WVEAnews,nan,nan,[]
MUParthenon,nan,nan,[]
SUPicket,nan,nan,[]
dailyathenaeum,nan,nan,[]
