user,sentiment,subjectivity,tweets
publisherjohn,0.411111111,0.455555556,"[u'Otay Ranch swim team heads into spring break undefeated - See more at: http://t.co/xLB1QuD9Bq', u'Eastlake sweeps Chula Vista in spring fling dual track encounter - See more at: http://t.co/fQT43MQEpJ', u'Sweetwater Red Devil track and field team is running in the fast lane - See more at: http://t.co/i1d9MahB3a']"
ChicoNR,0.378787879,0.251515152,"[u'This guy is not giving up. http://t.co/NohizAPaIY', u'What do you think about the new medi-pot restrictions? http://t.co/3fKzGQzfK6', u""It's Best of Chico time! The results are in! Check it out: http://t.co/65261yxgJh""]"
bakersfieldcali,0.35,0.166666667,"[u""PHOTO CONTEST: Let's see your best telephoto shots! Details here: http://t.co/hlmAz3thO1"", u'Stay off the 99 -- a big-rig burning on an overpass is causing chaos in the area: https://t.co/B6Uf0KlVYl', u'RT @TheBakosphere: Former NFL player selling Bakersfield mansion for $2.8 million, complete with ""Star Trek"" theater: http://t.co/YYQjtNAQy\u2026']"
thecambrian,0.319444444,0.555555556,"[u'Light rain falling in Cambria as of 7 p.m. Sat; forecast for showers thru early Sun, showers Mon, rain Tuesday, more showers Thurs, Fri.', u'Elephant seal pups must teach themselves to swim at Piedras Blancas before striking out to sea\nhttp://t.co/Akt4K6ct9Q http://t.co/yY4Ga69w3H', u'Weather forecast shows much-needed spring showers coming over the next 10 days. Look for first drops Saturday night. \nhttp://t.co/vBIxvB8X5U']"
LatinoTimes,0.266666667,0.3,"[u'Refrigerator: How refrigeration changed our lives http://t.co/RHtp2Lr5jG #Food', u'Movie review: \u2018Cesar Chavez\u2019 a story that needed to be told http://t.co/Ingn4hXMYJ #Show', u""Vietnam veterans get long-awaited 'welcome home' with Texas memorial http://t.co/zIFWysGHbe #News""]"
TheDailyPilot,0.25,0.277777778,"[u'Smith, Blinn earn OCL honors http://t.co/UU7GwHEFqR', u""Harrington, Kapana, O'Beck on first team http://t.co/6xgjO2pCbA"", u'Musselman earns top award http://t.co/inERXT14rZ']"
cnewspaper,0.233333333,0.266666667,"[u'HOLLYWOOD\u2014Keeping it real, reality shows are here to stay. These days anything can pass for entertainment. ~Mekko http://t.co/Ne9TE6BWYh', u'UNITED STATES\u2014It is safe to say that any remaining frost damage can be pruned away. ~Mekko http://t.co/9th7NeOmCA', u'UNITED STATES\u2014The deadline for the Affordable Health Care Act is looming. ~Mekko http://t.co/OgFPC6xjJ9']"
chicoer,0.22037037,0.687037037,"[u'RT @frankrebelo: Video: #ChicoPD and EMS attempt to secure #drunk and aggressive subject. Explicit language.  http://t.co/FMtbxQitvI', u""'Take Back the Night' Thursday, an event for awareness about sexual violence http://t.co/Pyb0ykF46k"", u'WordFire Creative Writing Conference coming to Butte College April 26 - http://t.co/KotcoBsepa']"
ncj_of_humboldt,0.216666667,0.277777778,"[u'RT @RyanBurnsy: Congrats to my friends and former @ncj_of_humboldt colleagues for their latest awards. They do good journalism. http://t.co\u2026', u'First Liquor Trucks Leave the Pulp Mill http://t.co/7ixJXIfenM', u""You've settled in at your desk, finished your coffee \u2014 time to think about lunch. Crab sandwich? http://t.co/NS7ghBHn5h""]"
Pvvt,0.2,0.316666667,"[u'Two Quartzsite non-profits receive donations from local art show http://t.co/EukUMUE9jN', u'Ironwwood State Prison scores 99.1 percent on ACA Accreditation http://t.co/KXUQI9tmYk', u'Colorado River Fair Junior Livestock FFA and 4-H Grand Supreme winners http://t.co/oyEA4YBhfL']"
